precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
NEW CASTLE10-10,156,2,89,2,2,10,7,2,28,522,17,19,136,247,51,522,136
NEW CASTLE10-13,37,2,48,0,0,5,12,3,19,261,10,15,183,87,39,261,183
NEW CASTLE10-19,98,3,63,0,0,15,24,1,51,382,16,30,290,164,91,382,290
NEW CASTLE10-21,155,5,164,5,3,41,49,0,122,812,24,79,633,324,220,812,633
NEW CASTLE10-22,201,5,159,2,2,65,119,3,192,606,12,35,447,365,383,606,447
NEW CASTLE10-27,192,1,108,2,3,63,49,1,162,812,14,56,666,301,280,812,666
NEW CASTLE11-02,254,0,124,1,0,0,2,1,1,980,7,3,19,378,5,980,19
NEW CASTLE11-06,160,3,92,4,1,30,94,0,85,627,13,35,351,255,214,627,351
NEW CASTLE11-12,115,0,55,7,5,30,139,0,154,518,7,47,559,170,335,518,559
NEW CASTLE11-17,174,1,95,2,2,12,9,4,59,728,15,52,363,270,88,728,363
NEW CASTLE11-19,21,1,29,0,1,7,6,1,12,117,5,10,97,51,27,117,97
NEW CASTLE11-21,278,11,261,5,1,64,68,8,192,757,33,58,570,550,338,757,570
NEW CASTLE12-01,69,0,49,0,0,7,6,1,14,281,5,11,98,118,28,281,98
NEW CASTLE12-02,135,0,60,0,0,0,3,0,0,582,5,3,7,195,3,582,7
NEW CASTLE12-04,142,1,104,3,2,33,99,1,102,679,24,54,539,247,240,679,539
NEW CASTLE12-06,182,2,140,1,6,55,108,2,93,759,20,58,477,324,265,759,477
NEW CASTLE13-12,149,2,43,5,0,18,136,1,95,502,15,31,336,194,255,502,336
NEW CASTLE14-01,138,2,80,3,6,18,35,1,51,459,11,30,213,220,114,459,213
NEW CASTLE14-12,113,0,65,1,0,28,78,0,83,429,8,33,310,178,190,429,310
NEW CASTLE15-04,34,0,41,0,1,7,35,2,63,248,5,11,202,75,108,248,202
NEW CASTLE17-02,49,0,37,0,0,9,2,0,5,369,9,9,48,86,16,369,48
SUSSEX01-14,428,4,178,3,6,73,163,3,440,1459,25,68,1514,610,688,1459,1514
SUSSEX01-20,142,2,112,1,3,34,30,3,104,570,19,55,488,256,175,570,488
SUSSEX01-35,111,12,111,1,8,131,66,3,407,583,16,64,1704,234,616,583,1704
SUSSEX01-36,85,1,89,2,6,32,53,3,188,572,19,66,768,175,284,572,768
SUSSEX01-37,123,2,83,4,8,17,47,2,165,636,21,35,605,208,243,636,605
SUSSEX01-38,151,7,86,2,4,49,102,1,411,583,21,53,1425,244,569,583,1425
SUSSEX01-39,87,6,57,1,9,57,38,2,273,332,12,38,1013,150,380,332,1013
SUSSEX01-40,59,6,49,3,3,32,18,2,137,306,21,17,618,114,195,306,618
SUSSEX01-41,62,8,75,4,1,86,36,0,333,279,21,43,1246,145,460,279,1246
SUSSEX02-14,319,4,143,2,3,50,96,4,329,1082,23,53,1085,466,484,1082,1085
SUSSEX02-20,275,4,148,1,2,57,63,3,362,907,17,63,1262,427,488,907,1262
