precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
PonderaCONRAD_27,46,34,2,19,13,17,198,125,409,249,80,534
PonderaDUPUYER_23,3,21,1,10,4,0,43,14,91,58,24,105
PonderaHEART BUTTE_20,77,69,0,4,0,1,7,241,19,12,146,260
PonderaVALIER (RURAL)_35,33,26,8,19,18,4,183,81,329,232,59,410
PonderaVALIER_34,9,25,6,8,1,5,109,43,206,129,34,249
Powder RiverPRECINCT03,0,2,1,5,1,1,17,9,35,25,2,44
Powder RiverPRECINCT04,0,0,0,0,4,0,19,3,40,23,0,43
Powder RiverPRECINCT05,6,11,1,2,4,1,61,20,105,69,17,125
Powder RiverPRECINCT08,1,0,0,0,1,1,16,2,21,18,1,23
Powder RiverPRECINCT09,1,0,1,2,0,1,30,15,43,34,1,58
Powder RiverPRECINCT11,11,12,3,21,16,5,208,51,349,253,23,400
Powder RiverPRECINCT12,5,9,8,18,15,4,165,27,291,210,14,318
PowellPRECINCT #1.80,8,3,2,14,5,1,75,11,146,97,11,157
PowellPRECINCT #10.80,6,1,0,5,0,0,31,9,70,36,7,79
PowellPRECINCT #11.80,2,8,1,4,0,1,42,7,93,48,10,100
PowellPRECINCT #12.80,4,13,0,6,2,0,52,20,116,60,17,136
PowellPRECINCT #14.80,9,16,0,8,5,4,64,31,121,81,25,152
PowellPRECINCT #16.78,17,12,0,4,1,0,34,34,89,39,29,123
PowellPRECINCT #2.80,8,8,0,8,3,0,25,18,73,36,16,91
PowellPRECINCT #3.78,22,38,6,8,5,3,113,68,279,135,60,347
PowellPRECINCT #4.78,22,23,3,8,2,3,67,61,197,83,45,258
PowellPRECINCT #5.78,33,35,2,8,12,7,88,97,215,117,68,312
PowellPRECINCT #6.78,40,34,2,10,8,8,82,73,241,110,74,314
PowellPRECINCT #7.78,16,38,2,11,3,3,79,76,234,98,54,310
PowellPRECINCT #8.80,18,22,0,10,5,7,69,46,155,91,40,201
PrairiePRECINCT NO. 1,15,16,2,6,5,6,56,41,125,75,31,166
PrairiePRECINCT NO. 2,20,10,5,10,1,3,57,26,118,76,30,144
PrairiePRECINCT NO. 3,7,8,1,3,1,2,65,19,134,72,15,153
PrairiePRECINCT NO. 4,6,10,3,17,5,4,92,14,179,121,16,193
RavalliPCT 01,32,41,1,20,11,1,227,122,461,260,73,583
RavalliPCT 02,71,74,5,56,26,14,364,211,754,465,145,965
RavalliPCT 03,37,51,4,35,19,9,201,129,506,268,88,635
RavalliPCT 04,59,53,5,32,37,18,233,187,514,325,112,701
RavalliPCT 05,112,137,16,54,32,17,375,369,782,494,249,1151
RavalliPCT 06,86,85,4,42,21,14,246,254,636,327,171,890
RavalliPCT 07,120,138,14,61,48,12,308,369,758,443,258,1127
RavalliPCT 08,136,162,14,45,28,19,224,492,575,330,298,1067
RavalliPCT 09,106,118,11,28,21,18,195,370,510,273,224,880
RavalliPCT 10,69,108,10,51,40,16,347,284,745,464,177,1029
RavalliPCT 11,59,77,9,49,53,19,340,248,744,470,136,992
RavalliPCT 12,63,81,11,39,36,10,256,232,565,352,144,797
RavalliPCT 13,44,54,5,54,26,11,245,166,610,341,98,776
RavalliPCT 14,0,2,3,73,6,7,57,3,213,146,2,216
RavalliPCT 15,91,101,4,51,32,14,391,299,771,492,192,1070
RavalliPCT 16,55,63,4,31,15,6,234,172,566,290,118,738
RavalliPCT 17,78,94,4,50,19,11,261,260,561,345,172,821
RavalliPCT 18,77,111,9,58,26,7,286,262,680,386,188,942
RavalliPCT 19,95,102,6,51,20,13,297,294,710,387,197,1004
RavalliPCT 20,90,90,6,43,27,8,203,283,525,287,180,808
RavalliPCT 21,46,57,2,33,14,6,139,137,361,194,103,498
RavalliPCT 22,131,112,6,55,26,17,300,364,755,404,243,1119
RavalliPCT 23,95,102,1,64,30,8,300,324,798,403,197,1122
RavalliPCT 24,114,156,6,60,25,9,285,392,710,385,270,1102
RichlandPRECINCT 01,9,9,1,12,7,2,48,35,165,70,18,200
RichlandPRECINCT 02,20,18,3,11,7,3,92,57,286,116,38,343
RichlandPRECINCT 03,19,22,5,12,8,7,117,73,311,149,41,384
RichlandPRECINCT 04,12,4,5,6,4,7,87,36,247,109,16,283
RichlandPRECINCT 05,21,11,1,20,7,1,97,48,278,126,32,326
RichlandPRECINCT 07,25,11,0,9,4,1,65,40,158,79,36,198
RichlandPRECINCT 08,31,16,5,25,18,18,188,87,466,254,47,553
RichlandPRECINCT 09,15,9,0,11,10,0,90,35,211,111,24,246
RichlandPRECINCT 12,15,24,1,4,4,5,161,73,479,175,39,552
RichlandPRECINCT 17,2,4,0,3,5,4,56,13,111,68,6,124
RichlandPRECINCT 19,6,8,3,3,5,1,53,14,101,65,14,115
RichlandPRECINCT 22,24,5,5,12,7,5,162,62,465,191,29,527
RichlandPRECINCT 23,19,17,0,25,23,13,222,98,630,283,36,728
