precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Roosevelt02 BAINVILLE,16,12,0,8,2,0,63,33,195,73,28,228
Roosevelt10 FROID,11,18,1,1,1,4,69,38,139,76,29,177
Roosevelt12 CULBERTSON,38,20,4,4,11,3,159,91,387,181,58,478
Roosevelt15 BROCKTON,35,30,0,1,0,0,2,138,14,3,65,152
Roosevelt16 EAST POPLAR RURAL,23,32,0,0,1,0,13,163,52,14,55,215
Roosevelt17 NORTH POPLAR MINERAL BENCH,5,16,1,2,1,1,39,21,80,44,21,101
Roosevelt18 POPLAR,67,79,3,9,2,1,56,393,185,71,146,578
Roosevelt22 EAST & NE WOLF POINT RURAL,15,19,2,5,3,3,47,57,116,60,34,173
Roosevelt24 WOLF POINT SOUTHSIDE,37,47,0,3,1,2,35,183,135,41,84,318
Roosevelt26 WOLF POINT NORTHSIDE,42,73,2,12,2,4,147,167,287,167,115,454
Roosevelt27 WEST WOLF POINT RURAL,19,44,1,5,1,1,30,262,100,38,63,362
Roosevelt28 NORTH WOLF POINT RURAL (VICTORY),9,9,0,16,1,2,53,14,107,72,18,121
RosebudPRECINCT 10,5,14,1,2,1,1,64,11,126,69,19,137
RosebudPRECINCT 11,0,5,0,9,1,0,36,3,88,46,5,91
RosebudPRECINCT 15,55,73,0,0,1,1,14,400,61,16,128,461
RosebudPRECINCT 17,29,45,2,10,0,1,29,150,103,42,74,253
RosebudPRECINCT 20,10,16,1,6,6,3,109,29,170,125,26,199
RosebudPRECINCT 21,4,11,0,0,4,2,48,10,116,54,15,126
RosebudPRECINCT 26,0,5,1,2,0,0,23,4,60,26,5,64
RosebudPRECINCT 3,58,39,4,12,12,7,133,100,333,168,97,433
RosebudPRECINCT 30,16,34,1,11,1,3,92,59,274,108,50,333
RosebudPRECINCT 32,45,79,4,30,9,11,272,138,592,326,124,730
RosebudPRECINCT 6,27,34,1,7,6,2,126,70,300,142,61,370
RosebudPRECINCT 7,1,8,0,1,0,0,17,13,30,18,9,43
Sanders1-HERON-HD13,13,40,3,4,2,0,105,61,224,114,53,285
Sanders2-NOXON-HD13,36,40,2,14,8,2,146,88,332,172,76,420
Sanders3-TROUT CREEK-HD13,50,87,3,26,31,11,295,147,653,366,137,800
Sanders4-T Falls-HD13,77,88,8,31,17,7,318,194,682,381,165,876
Sanders5-T FALLS-HD13,78,78,5,27,26,14,347,196,707,419,156,903
Sanders6-PLAINS-HD14,47,62,3,54,22,15,352,152,740,446,109,892
Sanders7-PLAINS-HD14,46,52,12,40,16,8,253,132,494,329,98,626
Sanders8-HOT SPRINGS-HD14,41,119,7,11,11,0,139,180,378,168,160,558
Sanders9-Dixon-HD14,17,27,1,5,7,5,39,68,76,57,44,144
Sheridan1 WESTBY,8,11,2,5,3,2,44,35,126,56,19,161
Sheridan2 MEDICINE LAKE,40,42,4,5,8,5,112,107,244,134,82,351
Sheridan3 PLENTYWOOD WEST,47,28,4,7,10,6,87,103,237,114,75,340
Sheridan4 PLENTYWOOD EAST,42,42,1,11,14,6,129,131,337,161,84,468
Sheridan5 PLENTYWOOD RURAL WEST,11,10,2,4,7,0,74,34,163,87,21,197
Sheridan6 PLENTYWOOD RURAL EAST,23,21,7,5,5,2,54,67,134,73,44,201
Silver BowPREC_1,43,53,0,4,0,1,39,104,86,44,96,190
Silver BowPREC_10N,35,33,0,1,1,2,16,63,37,20,68,100
Silver BowPREC_10S,52,54,0,1,0,1,25,106,52,27,106,158
Silver BowPREC_11,46,49,1,1,2,2,18,97,64,24,95,161
Silver BowPREC_12E,61,49,1,10,4,0,41,113,100,56,110,213
Silver BowPREC_12W,50,37,0,2,1,0,20,98,54,23,87,152
Silver BowPREC_14,260,277,3,17,8,10,70,639,307,108,537,946
Silver BowPREC_16,246,250,3,18,19,6,155,631,363,201,496,994
Silver BowPREC_17,163,223,2,11,6,7,90,464,308,116,386,772
Silver BowPREC_18,123,135,0,10,1,1,73,312,230,85,258,542
Silver BowPREC_19N,87,66,1,2,5,3,55,173,101,66,153,274
Silver BowPREC_19S,62,30,0,6,6,1,33,113,83,46,92,196
Silver BowPREC_19W,16,21,0,2,5,0,26,46,45,33,37,91
Silver BowPREC_21,153,108,3,3,3,3,60,319,157,72,261,476
Silver BowPREC_22,291,291,10,26,15,6,194,622,520,251,582,1142
Silver BowPREC_26E,23,24,0,3,0,1,46,43,71,50,47,114
Silver BowPREC_26W,26,19,0,3,5,3,40,57,107,51,45,164
Silver BowPREC_27N,16,9,0,1,1,0,25,22,71,27,25,93
Silver BowPREC_27S,65,47,3,9,3,2,75,129,177,92,112,306
Silver BowPREC_28,14,12,0,8,3,0,35,33,78,46,26,111
Silver BowPREC_29,4,6,0,2,2,1,22,16,53,27,10,69
Silver BowPREC_2E,121,106,2,9,3,3,69,256,185,86,227,441
Silver BowPREC_2W,134,135,2,2,3,3,86,290,207,96,269,497
Silver BowPREC_3,114,91,1,7,2,4,51,235,154,65,205,389
Silver BowPREC_4,295,219,5,23,8,13,176,570,356,225,514,926
Silver BowPREC_6,471,374,14,29,28,22,222,938,562,315,845,1500
Silver BowPREC_8E,513,307,11,37,32,26,329,946,635,435,820,1581
Silver BowPREC_8W,287,249,3,16,10,7,226,575,545,262,536,1120
Silver BowPREC_9E,107,102,6,18,17,6,157,239,281,204,209,520
Silver BowPREC_9N,198,136,7,21,15,6,188,332,370,237,334,702
Silver BowPREC_9W,27,11,0,4,1,0,11,38,17,16,38,55
StillwaterABSAROKEE PRECINCT 13,56,61,2,39,33,16,290,187,615,380,117,802
StillwaterCOLUMBUS PRECINCT 1,100,109,16,89,50,31,743,363,1649,929,209,2012
StillwaterFISHTAIL PRECINCT 11,15,14,1,13,5,2,50,46,133,71,29,179
StillwaterMOLT PRECINCT 7,0,5,0,4,2,1,26,6,62,33,5,68
StillwaterNYE PRECINCT 10,15,16,0,5,4,2,43,46,86,54,31,132
StillwaterPARK CITY PRECINCT 2,86,86,8,44,21,11,362,212,831,446,172,1043
StillwaterRAPELJE PRECINCT 9,4,9,2,9,6,3,81,17,139,101,13,156
StillwaterREED POINT PRECINCT 4,15,7,6,12,4,2,67,31,146,91,22,177
Sweet GrassPRECINCT 1,18,33,0,16,7,6,140,85,343,169,51,428
Sweet GrassPRECINCT 2,27,29,1,27,23,5,119,108,281,175,56,389
Sweet GrassPRECINCT 3,16,32,3,17,20,10,178,82,370,228,48,452
Sweet GrassPRECINCT 4,35,33,7,22,12,8,155,96,364,204,68,460
Sweet GrassPRECINCT 5,11,5,1,11,6,3,116,31,237,137,16,268
TetonPRECINCT #1,177,255,10,35,25,13,364,384,928,447,432,1312
TetonPRECINCT #11,12,32,2,6,5,4,37,27,113,54,44,140
TetonPRECINCT #17,50,28,4,8,7,0,107,100,213,126,78,313
TetonPRECINCT #6,29,49,1,7,2,0,97,79,210,107,78,289
TetonPRECINCT #7,106,96,8,49,34,11,280,218,706,382,202,924
TooleDEVON-GALATA,13,6,1,6,7,6,63,25,101,83,19,126
TooleKEVIN,9,5,1,5,2,1,62,21,101,71,14,122
TooleSHELBY CITY,72,57,30,44,53,28,484,258,838,639,129,1096
TooleSHELBY RURAL,10,11,1,13,4,5,90,24,142,113,21,166
TooleSUNBURST,25,28,3,12,14,14,173,74,315,216,53,389
TreasurePRECINCT # 3,1,2,0,0,1,0,4,3,33,5,3,36
TreasurePRECINCT # 4,30,35,5,14,6,8,122,55,276,155,65,331
TreasurePRECINCT # 6,3,6,0,1,0,0,18,1,42,19,9,43
Valley1-FORT PECK,63,79,1,18,9,4,196,158,393,228,142,551
Valley2-FRAZER,20,20,0,3,1,1,43,94,75,48,40,169
Valley3-HINSDALE,11,15,4,21,10,7,157,33,269,199,26,302
Valley4-GLASGOW,119,100,16,45,39,28,325,319,800,453,219,1119
Valley5-GLASGOW NE,95,80,13,43,25,10,338,219,742,429,175,961
Valley6-NASHUA,23,28,3,8,0,2,73,41,174,86,51,215
Valley7-LUSTRE,3,1,3,10,4,3,47,3,94,67,4,97
Valley8-OPHEIM,10,15,2,13,8,3,72,19,151,98,25,170
WheatlandPRECINCT 1,1,3,2,1,1,2,33,5,61,39,4,66
WheatlandPRECINCT 2,23,23,5,20,14,2,153,92,290,194,46,382
WheatlandPRECINCT 3,5,2,1,5,2,1,40,17,69,49,7,86
WheatlandPRECINCT 4,9,10,0,3,2,2,63,27,102,70,19,129
WheatlandPRECINCT 9,10,14,4,7,8,8,92,38,180,119,24,218
WibauxPRECINCT #1,36,16,3,26,21,4,231,55,463,285,52,518
Yellowstone39.1,10,6,2,15,4,1,72,21,151,94,16,172
Yellowstone39.2,134,137,19,71,25,12,566,296,1242,693,271,1538
Yellowstone40-45,74,55,5,43,15,11,297,188,626,371,129,814
Yellowstone40.1,111,138,17,86,20,8,623,297,1319,754,249,1616
Yellowstone40.3,20,28,4,15,5,4,122,49,266,150,48,315
Yellowstone40.4,15,19,0,19,7,4,85,60,195,115,34,255
Yellowstone40.5,13,10,0,15,1,3,51,28,150,70,23,178
Yellowstone42.1,9,7,0,4,2,2,38,17,86,46,16,103
Yellowstone42.2,14,16,0,7,5,1,65,59,169,78,30,228
Yellowstone43.1,34,12,4,19,17,1,184,86,399,225,46,485
Yellowstone43.2,88,83,7,33,14,14,270,165,530,338,171,695
Yellowstone43.3,299,267,16,128,70,29,826,927,1941,1069,566,2868
Yellowstone44.1,93,99,7,37,23,9,258,266,596,334,192,862
Yellowstone44.2,222,205,9,83,47,26,509,627,1145,674,427,1772
Yellowstone44.3,193,144,7,61,42,21,447,463,882,578,337,1345
Yellowstone45.2,386,330,45,162,129,61,1107,1181,2408,1504,716,3589
Yellowstone46.1,23,20,4,15,13,5,88,71,165,125,43,236
Yellowstone46.2,837,540,54,168,283,107,1531,1971,3017,2143,1377,4988
Yellowstone47.1,207,229,9,29,27,12,183,724,571,260,436,1295
Yellowstone47.2,430,338,26,68,148,38,583,1159,1165,863,768,2324
Yellowstone48.1,394,421,24,85,57,27,458,1159,1105,651,815,2264
Yellowstone48.2,335,245,27,79,83,31,479,866,1107,699,580,1973
Yellowstone49.1,222,243,3,36,43,12,191,726,584,285,465,1310
Yellowstone49.2,224,292,10,61,34,23,355,758,869,483,516,1627
Yellowstone50.1,240,276,11,61,27,15,303,702,850,417,516,1552
Yellowstone50.2,282,244,12,56,67,27,517,751,1101,679,526,1852
Yellowstone51.1,140,133,8,30,22,6,260,425,652,326,273,1077
Yellowstone51.2,109,97,4,40,30,8,180,363,491,262,206,854
Yellowstone51.3,202,208,8,67,33,28,401,613,984,537,410,1597
Yellowstone52.1,202,216,9,46,26,8,321,608,830,410,418,1438
Yellowstone52.2,311,254,15,81,46,25,589,780,1214,756,565,1994
Yellowstone53.1,405,325,42,182,184,59,1392,1232,2978,1859,730,4210
Yellowstone53.2,84,107,5,78,32,17,460,258,1063,592,191,1321
Yellowstone53.3,112,96,12,34,24,16,388,221,792,474,208,1013
Yellowstone54.1,563,432,41,165,128,66,1286,1516,2806,1686,995,4322
Yellowstone54.2,69,81,6,56,26,15,296,200,616,399,150,816
Yellowstone55.1,37,33,5,12,8,5,133,118,385,163,70,503
Yellowstone55.2,5,1,0,4,3,1,32,13,67,40,6,80
Yellowstone55.3,102,82,9,60,24,21,310,234,743,424,184,977
Yellowstone55.4,131,134,6,33,12,9,250,344,731,310,265,1075
Yellowstone55.5,199,164,11,82,47,15,421,501,1027,576,363,1528
Yellowstone56.1,22,34,2,15,8,7,106,64,235,138,56,299
Yellowstone56.2,274,318,21,138,63,30,882,849,2144,1134,592,2993
Yellowstone56.3,82,65,10,31,29,10,261,215,523,341,147,738
