county,precinct,office,district,party,candidate,votes
Blount,BLOUNTMARYVILLE MUNICIPAL,President,,Republican,Donald J. Trump,1114.0
Blount,BLOUNTMENTOR,President,,Republican,Donald J. Trump,333.0
Blount,BLOUNTMIDDLESETTLEMENTS,President,,Republican,Donald J. Trump,328.0
Blount,BLOUNTMISER STATION,President,,Republican,Donald J. Trump,883.0
Blount,BLOUNTMONTVALE,President,,Republican,Donald J. Trump,2589.0
Blount,BLOUNTOAK STREET,President,,Republican,Donald J. Trump,1100.0
Blount,BLOUNTOAKVIEW,President,,Republican,Donald J. Trump,1461.0
Blount,BLOUNTPELLISSIPPI CAMPUS,President,,Republican,Donald J. Trump,518.0
Blount,BLOUNTPORTER,President,,Republican,Donald J. Trump,1169.0
Blount,BLOUNTPROSPECT,President,,Republican,Donald J. Trump,1286.0
Blount,BLOUNTROCKFORD,President,,Republican,Donald J. Trump,898.0
Blount,BLOUNTTOWNSEND,President,,Republican,Donald J. Trump,1021.0
Blount,BLOUNTWALLAND,President,,Republican,Donald J. Trump,591.0
Blount,BLOUNTWILLIAM BLOUNT HS,President,,Republican,Donald J. Trump,954.0
Blount,BLOUNTWM BLOUNT ACADEMY,President,,Republican,Donald J. Trump,2889.0
Bradley,BRADLEY1-1 MCDONALD,President,,Republican,Donald J. Trump,1122.0
Bradley,BRADLEY1-2 PROSPECT,President,,Republican,Donald J. Trump,2653.0
Bradley,BRADLEY1-3 HOPEWELL,President,,Republican,Donald J. Trump,1824.0
Bradley,BRADLEY2-1 E.L. ROSS,President,,Republican,Donald J. Trump,3208.0
Bradley,BRADLEY2-2 WALKER VALLEY,President,,Republican,Donald J. Trump,2275.0
Bradley,BRADLEY3-1 LEE UNIVERSITY,President,,Republican,Donald J. Trump,998.0
Bradley,BRADLEY3-2 SENIOR CENTER,President,,Republican,Donald J. Trump,2259.0
Bradley,BRADLEY4-1 OAK GROVE,President,,Republican,Donald J. Trump,1998.0
Bradley,BRADLEY4-2 MICHIGAN AVE,President,,Republican,Donald J. Trump,2472.0
Bradley,BRADLEY5-1 BLYTHE/BOWER,President,,Republican,Donald J. Trump,1736.0
Bradley,BRADLEY5-2 MUSEUM,President,,Republican,Donald J. Trump,646.0
Bradley,BRADLEY6-1 VALLEY VIEW,President,,Republican,Donald J. Trump,1413.0
Bradley,BRADLEY6-2 BLUE SPRINGS,President,,Republican,Donald J. Trump,1672.0
Bradley,BRADLEY6-3 WATERVILLE,President,,Republican,Donald J. Trump,886.0
Bradley,BRADLEY6-4 BLACK FOX,President,,Republican,Donald J. Trump,819.0
Bradley,BRADLEY7-1 STUART,President,,Republican,Donald J. Trump,2316.0
Bradley,BRADLEY7-2 CLEVELAND HIGH,President,,Republican,Donald J. Trump,1471.0
Bradley,BRADLEYEARLY VOTING - WRITE-INS,President,,Republican,Donald J. Trump,0.0
Campbell,CAMPBELL1-1 ALDER SPRINGS,President,,Republican,Donald J. Trump,345.0
Campbell,CAMPBELL1-2 DEMORY,President,,Republican,Donald J. Trump,507.0
Campbell,CAMPBELL1-3 PINECREST,President,,Republican,Donald J. Trump,205.0
Campbell,CAMPBELL1-4 VALLEY VIEW,President,,Republican,Donald J. Trump,1019.0
Campbell,CAMPBELL1-5 WELL SPRINGS,President,,Republican,Donald J. Trump,234.0
