county,precinct,office,district,party,candidate,votes
Adams,4255601241,President,,Independent People of Colorado,Joseph Allen Maldonado / Douglas K. Terranova,0
Adams,4255601241,President,,American Solidarity Party,Michael A. Maturen / Juan Munoz,0
Adams,4255601241,President,,Unaffiliated,Evan McMullin / Nathan Johnson,0
Adams,4255601241,President,,Unaffiliated,Ryan Alan Scott / Bruce Kendall Barnard,0
Adams,4255601241,President,,Nutrition Party,Rod Silva / Richard C. Silva,0
Adams,4255601241,President,,Unaffiliated,Mike Smith / Daniel White,0
Adams,4255601241,President,,Socialist Party USA,Emidio Soltysik / Angela Nicole Walker,0
Adams,4255601241,President,,Green / Democratic,Bruce Lohmiller / J.R. Smith,0
Adams,4255601241,President,,Unaffiliated / Libertarian,Thomas J. Nieman / Bernie Jackson,0
Adams,4255601241,President,,Unaffiliated / Republican,Corey Sterner / Jeff Ryan,0
Adams,4255601241,President,,Republican Party,"David Perry / Eric ""Rick"" Seiley",0
Adams,4255601241,President,,Unaffiliated,Brian Anthony Perry / Michael Byron Nelson,0
Adams,4255601241,President,,Unaffiliated,Cherunda Fox / Roger Kushner,0
Adams,4255601241,U.S. Senate,,Democratic Party,Michael Bennet,2
Adams,4255601241,U.S. Senate,,Republican Party,Darryl Glenn,27
Adams,4255601241,U.S. Senate,,Libertarian Party,Lily Tang Williams,0
Adams,4255601241,U.S. Senate,,Green Party,Arn Menconi,0
Adams,4255601241,U.S. Senate,,Unity Party of Colorado,Bill Hammons,0
Adams,4255601241,U.S. Senate,,Unaffiliated,Dan Chapin,1
Adams,4255601241,U.S. Senate,,Unaffiliated,Paul Noel Fiorino,0
Adams,4255601241,U.S. Senate,,Unaffiliated,Don Willoughby,0
Adams,4255601241,U.S. House,4,Democratic Party,Bob Seay,1
Adams,4255601241,U.S. House,4,Republican Party,Ken Buck,30
Adams,4255601241,U.S. House,4,Libertarian Party,Bruce Griffith,0
Adams,4255601241,U.S. House,4,Republican Party,Donald Howbert,0
Adams,4255601241,State Senate,25,Democratic Party,Jenise May,2
Adams,4255601241,State Senate,25,Republican Party,Kevin Priola,28
Adams,4255601241,State Representative,56,Democratic Party,Matt Snider,1
Adams,4255601241,State Representative,56,Republican Party,Phil Covarrubias,29
Adams,4255601241,State Representative,56,Libertarian Party,Kevin Gulbranson,0
Adams,4255601241,District Attorney,17,Democratic Party,Dave Young,2
Adams,4255601241,District Attorney,17,Republican Party,Molly Falk Jansen,27
Adams,4255601241,Supreme Court,,,William Hood,0
Adams,4255601241,Court of Appeals,,,Karen M. Ashby,0
Adams,4255601241,Court of Appeals,,,Michael H. Berger,0
Adams,4255601241,Court of Appeals,,,Steven L. Bernard,0
Adams,4255601241,Court of Appeals,,,Stephanie E. Dunn,0
Adams,4255601241,Court of Appeals,,,David Furman,0
Adams,4255601241,Court of Appeals,,,Robert D. Hawthorne,0
Adams,4255601241,Court of Appeals,,,Jerry N. Jones,0
Adams,4255601241,Court of Appeals,,,Anthony J. Navarro,0
Adams,4255601241,Court of Appeals,,,Gilbert M. Rom�n,0
Adams,4255601241,Court of Appeals,,,Diana Terry,0
Adams,4255601246,President,,Democratic Party,Hillary Clinton / Tim Kaine,187
Adams,4255601246,President,,Republican Party,Donald J. Trump / Michael R. Pence,663
Adams,4255601246,President,,American Constitution Party,Darrell L. Castle / Scott N. Bradley,6
Adams,4255601246,President,,Libertarian Party,Gary Johnson / Bill Weld,41
Adams,4255601246,President,,Green Party,Jill Stein / Ajamu Baraka,9
Adams,4255601246,President,,Approval Voting Party,Frank Atwood / Blake Huber,0
