precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
MINERHOWARD WARD 1,2.0,51.0,8.0,76.0
MINERHOWARD WARD 2,2.0,38.0,7.0,75.0
MINERHOWARD WARD 3,1.0,26.0,13.0,62.0
MINERTOTAL,10.0,281.0,67.0,706.0
MINERVERMILLION-CANOVA-ROCK CREEK,1.0,44.0,11.0,81.0
MINNEHAHAPRECINCT-0102,4.0,234.0,27.0,279.0
MINNEHAHAPRECINCT-0103,11.0,474.0,54.0,575.0
MINNEHAHAPRECINCT-0104/0105,16.0,744.0,108.0,866.0
MINNEHAHAPRECINCT-0106,16.0,564.0,84.0,662.0
MINNEHAHAPRECINCT-0108,8.0,316.0,52.0,438.0
MINNEHAHAPRECINCT-0109,12.0,481.0,75.0,611.0
MINNEHAHAPRECINCT-0110,18.0,549.0,86.0,740.0
MINNEHAHAPRECINCT-0117,11.0,463.0,97.0,804.0
MINNEHAHAPRECINCT-0201,12.0,532.0,79.0,632.0
MINNEHAHAPRECINCT-0202,17.0,618.0,88.0,815.0
MINNEHAHAPRECINCT-0203,10.0,536.0,69.0,616.0
MINNEHAHAPRECINCT-0204,9.0,402.0,43.0,335.0
MINNEHAHAPRECINCT-0206,13.0,538.0,74.0,684.0
MINNEHAHAPRECINCT-0207,15.0,715.0,109.0,1071.0
MINNEHAHAPRECINCT-0208,9.0,463.0,56.0,720.0
MINNEHAHAPRECINCT-0209,11.0,478.0,49.0,560.0
MINNEHAHAPRECINCT-0214,20.0,917.0,107.0,1248.0
MINNEHAHAPRECINCT-0305,6.0,405.0,57.0,481.0
MINNEHAHAPRECINCT-0306,12.0,515.0,88.0,383.0
MINNEHAHAPRECINCT-0307,20.0,443.0,94.0,451.0
MINNEHAHAPRECINCT-0308,3.0,201.0,22.0,230.0
MINNEHAHAPRECINCT-0309,16.0,830.0,108.0,1126.0
MINNEHAHAPRECINCT-0310,10.0,596.0,78.0,919.0
MINNEHAHAPRECINCT-0311,7.0,356.0,53.0,548.0
MINNEHAHAPRECINCT-0312,10.0,429.0,75.0,678.0
MINNEHAHAPRECINCT-0314,27.0,571.0,127.0,735.0
MINNEHAHAPRECINCT-0315,24.0,504.0,90.0,643.0
MINNEHAHAPRECINCT-0316,13.0,444.0,78.0,806.0
MINNEHAHAPRECINCT-0317,16.0,605.0,91.0,1012.0
MINNEHAHAPRECINCT-0401,12.0,544.0,78.0,458.0
MINNEHAHAPRECINCT-0402,14.0,351.0,62.0,328.0
MINNEHAHAPRECINCT-0403,8.0,243.0,39.0,223.0
MINNEHAHAPRECINCT-0404,7.0,377.0,61.0,350.0
MINNEHAHAPRECINCT-0405,10.0,387.0,61.0,482.0
MINNEHAHAPRECINCT-0406,3.0,182.0,28.0,207.0
MINNEHAHAPRECINCT-0407/0408,13.0,690.0,85.0,664.0
MINNEHAHAPRECINCT-0409,16.0,438.0,52.0,412.0
MINNEHAHAPRECINCT-0410,16.0,368.0,71.0,499.0
MINNEHAHAPRECINCT-0411,16.0,732.0,119.0,1173.0
MINNEHAHAPRECINCT-0412,15.0,463.0,62.0,568.0
MINNEHAHAPRECINCT-0501/0502,22.0,695.0,96.0,438.0
MINNEHAHAPRECINCT-0503,7.0,204.0,43.0,168.0
MINNEHAHAPRECINCT-0504,8.0,508.0,60.0,297.0
MINNEHAHAPRECINCT-0506,17.0,466.0,58.0,518.0
MINNEHAHAPRECINCT-0507,9.0,303.0,31.0,260.0
MINNEHAHAPRECINCT-0508,5.0,514.0,61.0,346.0
MINNEHAHAPRECINCT-0509,9.0,242.0,52.0,219.0
MINNEHAHAPRECINCT-0510,10.0,322.0,47.0,304.0
MINNEHAHAPRECINCT-0511,9.0,307.0,50.0,330.0
MINNEHAHAPRECINCT-0512,14.0,327.0,37.0,351.0
MINNEHAHAPRECINCT-0513,4.0,322.0,54.0,299.0
MINNEHAHAPRECINCT-0514,16.0,434.0,83.0,385.0
MINNEHAHAPRECINCT-0517,8.0,265.0,30.0,307.0
MINNEHAHAPRECINCT-0518,18.0,535.0,73.0,402.0
MINNEHAHAPRECINCT-VP01,8.0,183.0,49.0,528.0
MINNEHAHAPRECINCT-VP02,18.0,544.0,101.0,1274.0
MINNEHAHAPRECINCT-VP03,32.0,679.0,119.0,1500.0
MINNEHAHAPRECINCT-VP04,8.0,341.0,61.0,721.0
MINNEHAHAPRECINCT-VP05,17.0,428.0,78.0,901.0
MINNEHAHAPRECINCT-VP06,2.0,153.0,20.0,364.0
MINNEHAHAPRECINCT-VP07,26.0,488.0,105.0,1041.0
MINNEHAHAPRECINCT-VP08,10.0,187.0,32.0,460.0
MINNEHAHAPRECINCT-VP09,13.0,351.0,78.0,801.0
MINNEHAHAPRECINCT-VP10,10.0,367.0,76.0,683.0
MINNEHAHAPRECINCT-VP11,8.0,244.0,36.0,587.0
MINNEHAHAPRECINCT-VP12,1.0,27.0,8.0,95.0
MINNEHAHAPRECINCT-VP13,9.0,233.0,38.0,617.0
MINNEHAHAPRECINCT-VP15,12.0,489.0,84.0,952.0
MINNEHAHAPRECINCT-VP16,7.0,280.0,59.0,675.0
MINNEHAHAPRECINCT-VP17,4.0,170.0,39.0,427.0
MINNEHAHAPRECINCT-VP21,10.0,312.0,59.0,771.0
MINNEHAHATOTAL,857.0,30618.0,4753.0,42053.0
MOODY1,7.0,258.0,19.0,226.0
MOODY2,3.0,279.0,29.0,207.0
MOODY3,7.0,151.0,26.0,357.0
MOODY34,4.0,109.0,10.0,208.0
MOODY4,1.0,86.0,19.0,264.0
MOODY5,6.0,160.0,28.0,469.0
MOODYTOTAL,28.0,1043.0,131.0,1731.0
OGLALA LAKOTABATESLAND,3.0,94.0,9.0,44.0
OGLALA LAKOTACUNY TABLE,0.0,37.0,0.0,15.0
OGLALA LAKOTAKYLE,9.0,433.0,16.0,41.0
OGLALA LAKOTAMANDERSON,5.0,157.0,10.0,7.0
OGLALA LAKOTAOGLALA,12.0,366.0,21.0,33.0
OGLALA LAKOTAPINE RIDGE 1,5.0,581.0,14.0,30.0
OGLALA LAKOTAPINE RIDGE 3,6.0,415.0,12.0,32.0
OGLALA LAKOTAPORCUPINE,4.0,357.0,14.0,25.0
OGLALA LAKOTAROCKYFORD,4.0,70.0,10.0,14.0
OGLALA LAKOTATOTAL,48.0,2510.0,106.0,241.0
PENNINGTON1-APR,8.0,149.0,37.0,228.0
PENNINGTON1-FEB,2.0,51.0,7.0,61.0
PENNINGTON1-JAN,22.0,393.0,123.0,900.0
PENNINGTON1-MAR,10.0,236.0,59.0,377.0
PENNINGTON1-MAY,8.0,198.0,42.0,263.0
PENNINGTON2-APR,13.0,439.0,111.0,696.0
PENNINGTON2-FEB,1.0,20.0,9.0,49.0
PENNINGTON2-JAN,24.0,590.0,146.0,1146.0
PENNINGTON2-MAR,18.0,792.0,182.0,2028.0
PENNINGTON2-MAY,16.0,644.0,172.0,950.0
PENNINGTON3-APR,12.0,303.0,44.0,547.0
PENNINGTON3-FEB,18.0,410.0,119.0,819.0
PENNINGTON3-JAN,29.0,734.0,135.0,1619.0
PENNINGTON3-MAR,7.0,275.0,39.0,547.0
PENNINGTON3-MAY,27.0,716.0,155.0,1249.0
PENNINGTON4-APR,23.0,402.0,108.0,464.0
PENNINGTON4-FEB,27.0,794.0,233.0,1189.0
PENNINGTON4-JAN,10.0,270.0,52.0,603.0
PENNINGTON4-MAR,23.0,981.0,218.0,1634.0
PENNINGTON4-MAY,16.0,744.0,141.0,672.0
PENNINGTON5-APR,15.0,242.0,66.0,506.0
PENNINGTON5-FEB,3.0,88.0,21.0,91.0
PENNINGTON5-MAR,1.0,102.0,20.0,221.0
PENNINGTON5-MAY,8.0,115.0,14.0,215.0
PENNINGTONAW,26.0,898.0,83.0,1830.0
PENNINGTONBE,9.0,293.0,124.0,957.0
PENNINGTONCA,8.0,68.0,31.0,490.0
PENNINGTONCL,1.0,137.0,45.0,272.0
PENNINGTONCR,0.0,4.0,5.0,54.0
PENNINGTONDI,8.0,215.0,66.0,708.0
PENNINGTONEL,2.0,105.0,39.0,305.0
PENNINGTONHC,10.0,272.0,68.0,800.0
PENNINGTONHP,15.0,384.0,79.0,1338.0
PENNINGTONJS,15.0,348.0,60.0,865.0
PENNINGTONKY,4.0,125.0,26.0,387.0
PENNINGTONNH,7.0,65.0,23.0,192.0
PENNINGTONNU,5.0,100.0,19.0,432.0
PENNINGTONQU,1.0,20.0,10.0,180.0
PENNINGTONRH,1.0,25.0,5.0,38.0
PENNINGTONRV,19.0,317.0,107.0,807.0
PENNINGTONVF,18.0,335.0,123.0,1111.0
PENNINGTONVV,17.0,273.0,82.0,722.0
PENNINGTONWL,5.0,58.0,15.0,314.0
PENNINGTONWP,13.0,340.0,73.0,852.0
PENNINGTONWS,1.0,4.0,3.0,76.0
PERKINS1,2.0,47.0,17.0,219.0
PERKINS12,1.0,38.0,15.0,270.0
PERKINS2,0.0,13.0,6.0,88.0
PERKINS3,5.0,42.0,15.0,230.0
PERKINS4,0.0,9.0,1.0,49.0
PERKINS5,1.0,17.0,3.0,121.0
PERKINS6,3.0,11.0,3.0,105.0
PERKINS7,0.0,5.0,3.0,120.0
PERKINS8,0.0,2.0,5.0,59.0
PERKINS9,3.0,4.0,2.0,72.0
PERKINSTOTAL,15.0,188.0,70.0,1333.0
POTTERABSENTEE PRECINCT,4.0,61.0,13.0,201.0
POTTERGETTYSBURG LEGION ANNEX,3.0,117.0,22.0,601.0
POTTERHOVEN AMERICAN LEGION,4.0,37.0,5.0,269.0
POTTERTOTAL,11.0,215.0,40.0,1071.0
ROBERTS1,1.0,49.0,6.0,113.0
ROBERTS10,2.0,126.0,1.0,76.0
ROBERTS11,6.0,319.0,31.0,381.0
ROBERTS12 (14),1.0,157.0,16.0,140.0
ROBERTS13,5.0,149.0,11.0,125.0
ROBERTS2,9.0,110.0,19.0,303.0
ROBERTS3,1.0,62.0,8.0,104.0
ROBERTS4,0.0,24.0,7.0,53.0
ROBERTS5,5.0,208.0,12.0,157.0
ROBERTS6(7),5.0,143.0,28.0,358.0
ROBERTS8,1.0,48.0,6.0,56.0
ROBERTS9,5.0,145.0,19.0,278.0
ROBERTSTOTAL,41.0,1540.0,164.0,2144.0
SANBORN1,3.0,59.0,16.0,193.0
SANBORN2,5.0,54.0,15.0,239.0
SANBORN4,2.0,63.0,14.0,210.0
SANBORN5,2.0,65.0,6.0,177.0
SANBORNTOTAL,12.0,241.0,51.0,819.0
SPINK1,5.0,96.0,17.0,276.0
SPINK10,4.0,196.0,31.0,246.0
SPINK3,2.0,80.0,13.0,232.0
SPINK4,3.0,71.0,6.0,222.0
SPINK5,2.0,69.0,9.0,121.0
SPINK6,0.0,33.0,1.0,82.0
SPINK7,4.0,144.0,17.0,285.0
SPINK8,3.0,42.0,4.0,96.0
SPINK9,12.0,188.0,45.0,294.0
SPINKTOTAL,35.0,919.0,143.0,1854.0
STANLEY1,10.0,306.0,67.0,1009.0
STANLEY2,3.0,10.0,3.0,57.0
STANLEY3,0.0,13.0,7.0,82.0
STANLEYTOTAL,13.0,329.0,77.0,1148.0
SULLYABSENTEE PRECINCT,2.0,42.0,9.0,123.0
SULLYAGAR FIRE HALL,0.0,16.0,2.0,75.0
SULLYBILL FLOYD SHOP,0.0,16.0,4.0,91.0
SULLYPHOENIX CENTER,3.0,63.0,25.0,390.0
SULLYTOTAL,5.0,137.0,40.0,679.0
TODDBORDEAUX,1.0,43.0,2.0,12.0
TODDJEANETTE,1.0,9.0,1.0,68.0
TODDLAKEVIEW,6.0,11.0,0.0,90.0
"TODDMISSION-N, ANTELOPE",8.0,366.0,30.0,96.0
TODDOKREEK,0.0,72.0,3.0,44.0
TODDPARMELEE,6.0,220.0,13.0,21.0
TODDROSEBUD,5.0,339.0,21.0,47.0
TODDS. ANTELOPE,6.0,171.0,13.0,58.0
TODDSAINT FRANCIS,4.0,274.0,13.0,51.0
TODDTOTAL,37.0,1505.0,96.0,487.0
TRIPPCLEARFIELD CONSOLIDATED,0.0,27.0,8.0,108.0
TRIPPCOLOME CONSOLIDATED,3.0,62.0,9.0,302.0
TRIPPHAMIL CONSOLIDATED,1.0,10.0,2.0,83.0
TRIPPIDEAL CONSOLIDATED,1.0,14.0,3.0,62.0
TRIPPLAKE CONSOLIDATED,1.0,18.0,4.0,138.0
TRIPPLAMRO CONSOLIDATED,2.0,51.0,8.0,264.0
TRIPPSULLY CONSOLIDATED,0.0,22.0,5.0,69.0
TRIPPTOTAL,15.0,462.0,84.0,2069.0
TRIPPWINNER CONSOLIDATED E 2ND,2.0,43.0,6.0,193.0
TRIPPWINNER CONSOLIDATED E 3RD,0.0,50.0,15.0,223.0
TRIPPWINNER CONSOLIDATED SE 1ST,2.0,27.0,5.0,121.0
TRIPPWINNER CONSOLIDATED W 2ND,1.0,77.0,7.0,264.0
TRIPPWINNER CONSOLIDATED W 3RD,2.0,44.0,8.0,159.0
TRIPPWRITTEN CONSOLIDATED,0.0,17.0,4.0,83.0
TURNER1,12.0,163.0,35.0,621.0
TURNER2,4.0,208.0,58.0,664.0
TURNER3,1.0,64.0,12.0,242.0
TURNER4,5.0,60.0,10.0,204.0
TURNER5,4.0,139.0,23.0,384.0
TURNER6,6.0,135.0,30.0,332.0
TURNER7,1.0,53.0,18.0,102.0
TURNER8,3.0,139.0,30.0,388.0
TURNERTOTAL,36.0,961.0,216.0,2937.0
UNION1,4.0,90.0,10.0,238.0
UNION10,4.0,208.0,25.0,418.0
UNION11,3.0,224.0,32.0,462.0
UNION12,6.0,175.0,24.0,636.0
UNION13,4.0,309.0,37.0,890.0
UNION2,2.0,125.0,15.0,238.0
UNION3,15.0,239.0,41.0,456.0
UNION4,3.0,131.0,17.0,233.0
UNION5,8.0,137.0,22.0,316.0
UNION6,7.0,184.0,20.0,400.0
UNION7,5.0,128.0,26.0,413.0
UNION8,4.0,131.0,27.0,305.0
UNION9,3.0,146.0,16.0,285.0
UNIONTOTAL,68.0,2227.0,312.0,5290.0
WALWORTH1,3.0,16.0,2.0,127.0
WALWORTH10,4.0,15.0,4.0,130.0
WALWORTH2,1.0,20.0,9.0,122.0
WALWORTH3,5.0,46.0,11.0,347.0
WALWORTH4,6.0,40.0,4.0,120.0
WALWORTH5,7.0,80.0,13.0,228.0
WALWORTH6,11.0,111.0,19.0,346.0
WALWORTH7,4.0,115.0,8.0,331.0
WALWORTH8,2.0,3.0,1.0,78.0
WALWORTH9,2.0,11.0,8.0,67.0
WALWORTHTOTAL,45.0,457.0,79.0,1896.0
YANKTONABSENTEE PRECINCT,40.0,1743.0,183.0,2327.0
YANKTONGAYVILLE COMMUNITY CENTER,6.0,126.0,38.0,228.0
YANKTONJODEAN'S STEAKHOUSE AND LOUNGE,9.0,210.0,62.0,484.0
YANKTONLESTERVILLE FIRE HALL,1.0,43.0,12.0,207.0
YANKTONLEWIS AND CLARK REC AREA,5.0,93.0,14.0,313.0
YANKTONMAYFIELD STORE,4.0,73.0,10.0,196.0
YANKTONNATIONAL FIELD ARCHERY,26.0,488.0,96.0,1063.0
YANKTONTOTAL,111.0,3301.0,552.0,5659.0
YANKTONYANKTON CITY HALL,20.0,525.0,137.0,841.0
ZIEBACHPRECINCT-1 BRIDGER,0.0,27.0,0.0,7.0
ZIEBACHPRECINCT-2 CHERRY CREEK,0.0,69.0,1.0,7.0
ZIEBACHPRECINCT-3 DAVIS,5.0,99.0,12.0,67.0
ZIEBACHPRECINCT-4 GLAD VALLEY,0.0,10.0,0.0,59.0
"ZIEBACHPRECINCT-6 REDELM (PRECINCT-5 NORTH DUPREE, PRECINCT-8 SOUTH DUPREE)",10.0,112.0,14.0,215.0
ZIEBACHPRECINCT-7 RED SCAFFOLD,3.0,36.0,1.0,13.0
ZIEBACHTOTAL,18.0,353.0,28.0,368.0
