precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
"CODINGTONKRANZBURG, KRANZBURG",2.0,43.0,9.0,182.0
CODINGTONLAKE,6.0,73.0,10.0,248.0
"CODINGTONLEOLA, SOUTH SHORE",2.0,47.0,7.0,85.0
CODINGTONPELICAN,3.0,62.0,21.0,244.0
CODINGTONPRECINCT - A1,6.0,221.0,49.0,698.0
CODINGTONPRECINCT - A2,8.0,158.0,24.0,335.0
CODINGTONPRECINCT - A3 (PRECINT-A4),7.0,206.0,30.0,473.0
"CODINGTONPRECINCT-B1 (PRECINCT-B4, PRECINCT-E5)",6.0,200.0,29.0,493.0
CODINGTONPRECINCT-B2,10.0,295.0,72.0,478.0
CODINGTONPRECINCT-B3 (PRECINCT-C1),7.0,175.0,43.0,407.0
CODINGTONPRECINCT-C2 (PRECINCT-D4),5.0,128.0,18.0,223.0
CODINGTONPRECINCT-C3,9.0,217.0,41.0,315.0
CODINGTONPRECINCT-C4,5.0,78.0,15.0,181.0
CODINGTONPRECINCT-D1,8.0,144.0,23.0,322.0
CODINGTONPRECINCT-D2,10.0,146.0,27.0,291.0
CODINGTONPRECINCT-D3,4.0,112.0,19.0,229.0
CODINGTONPRECINCT-E1,13.0,163.0,38.0,398.0
CODINGTONPRECINCT-E2 (PRECINCT-E4),3.0,131.0,23.0,360.0
CODINGTONPRECINCT-E3,9.0,184.0,26.0,579.0
CODINGTONSHERIDAN,0.0,39.0,7.0,159.0
CODINGTONTOTAL,131.0,3174.0,600.0,7764.0
CODINGTONWAVERLY,0.0,21.0,7.0,71.0
CORSONBULLHEAD,1.0,57.0,0.0,5.0
CORSONGRAND VALLEY,0.0,3.0,4.0,63.0
CORSONKENEL,0.0,54.0,0.0,6.0
CORSONLINCOLN (OAK CREEK),1.0,40.0,6.0,54.0
CORSONLITTLE EAGLE,1.0,78.0,5.0,17.0
CORSONMCINTOSH (SOUTH MCINTOSH),3.0,33.0,5.0,128.0
CORSONMCLAUGHLIN,4.0,113.0,5.0,66.0
CORSONMORRISTOWN,3.0,14.0,2.0,99.0
CORSONRIDGELAND,0.0,13.0,0.0,49.0
CORSONSTONE CHURCH,1.0,3.0,0.0,73.0
CORSONTOTAL,18.0,535.0,34.0,588.0
