precinct,pri_dem_CLINTON,pri_dem_SANDERS,gen_con_CASTLE,gen_dem_CLINTON,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
CLARK1389,4,3,4,401,0,19,349,7,773
CLARK1390,8,8,9,787,4,41,650,16,1491
CLARK1391,6,5,6,644,0,52,503,11,1205
CLARK1394,4,4,5,440,1,32,591,8,1069
CLARK1395,4,3,5,374,0,24,599,7,1002
CLARK1396,6,3,2,455,0,18,364,9,839
CLARK1410,6,5,3,554,0,59,635,11,1251
CLARK1411,5,4,4,464,3,19,519,9,1009
CLARK1509,5,3,4,426,1,26,624,8,1081
CLARK1510,3,2,1,265,1,8,527,5,802
CLARK1511,4,3,2,396,1,26,481,7,906
CLARK1513,6,3,3,531,1,33,758,9,1326
CLARK1514,4,5,3,471,2,39,620,9,1135
CLARK1517,5,1,0,300,0,6,396,6,702
CLARK1518,6,2,1,505,1,27,746,8,1280
CLARK1519,2,0,0,141,0,9,311,2,461
CLARK1520,4,1,2,260,2,8,367,5,639
CLARK1521,5,1,0,314,1,21,598,6,934
CLARK1525,7,2,0,523,0,12,830,9,1365
CLARK1528,6,4,1,594,0,52,858,10,1505
CLARK1550,3,3,1,310,1,20,404,6,736
CLARK1552,2,3,0,287,3,14,327,5,631
CLARK1601,5,5,3,421,0,21,297,10,742
CLARK1602,4,4,4,440,3,15,208,8,670
CLARK1603,3,3,0,424,3,10,200,6,637
CLARK1604,4,5,3,413,2,12,328,9,758
CLARK1605,4,6,1,470,2,24,268,10,765
CLARK1606,2,1,0,174,1,13,235,3,423
CLARK1607,1,0,0,49,2,3,34,1,88
CLARK1608,5,2,2,428,2,26,638,7,1096
CLARK1609,4,8,6,674,2,49,451,12,1182
CLARK1611,7,7,3,602,3,22,277,14,907
CLARK1612,6,6,8,629,1,28,591,12,1257
CLARK1613,5,3,1,386,1,25,248,8,661
CLARK1614,5,4,1,385,0,26,315,9,727
CLARK1615,5,5,4,446,2,19,319,10,790
CLARK1616,4,4,1,327,2,17,241,8,588
CLARK1617,6,5,5,457,2,17,285,11,766
CLARK1618,5,5,4,515,1,25,376,10,921
CLARK1619,9,5,1,737,1,24,549,14,1312
