precinct,pri_dem_CLINTON,pri_dem_SANDERS,gen_con_CASTLE,gen_dem_CLINTON,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
STOREY1,2,6,0,86,2,17,175,8,280
STOREY11,0,0,0,0,0,0,11,0,11
STOREY15,0,0,0,1,0,0,18,0,19
STOREY2,5,5,0,101,0,13,193,10,307
STOREY3,0,0,0,1,0,0,14,0,15
STOREY4,4,7,4,100,1,9,269,11,383
STOREY5,11,9,2,244,0,37,602,20,885
STOREY6,13,11,3,219,3,24,333,24,582
WHITE PINE1,7,7,3,98,3,28,344,14,476
WHITE PINE10,0,3,3,22,0,5,142,3,172
WHITE PINE2,5,6,2,77,1,15,255,11,350
WHITE PINE3,6,7,6,98,4,16,248,13,372
WHITE PINE4,8,5,3,95,3,17,329,13,447
WHITE PINE5,7,10,10,145,0,31,731,17,917
WHITE PINE6,7,6,8,90,1,19,317,13,435
WHITE PINE7,4,0,2,25,0,6,115,4,148
WHITE PINE8,2,1,3,11,2,9,192,3,217
WHITE PINE9,1,1,0,46,0,5,48,2,99
