precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_WRITE-INS,gen_lib_JOHNSON,gen_rep_TRUMP,gen_rep_VOTES,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_PLEDGE,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_UNCOMMITTED,pri_rep_VOTES,gen_total,rep_pri_total,dem_pri_total
MOBILE_HOLY NAME OF JESUS CHURCH #2,242,7,0,37,1419,0,73,0,0,44,2,78,0,190,1,0,2,15,2,0,94,0,419,6,0,1705,809,117
MOBILE_HOPE CHAPEL A_M_E_Z_ #1,651,1,0,3,22,0,260,0,1,25,0,2,0,3,0,0,0,0,0,0,0,0,4,2,0,677,11,286
MOBILE_HOPE CHAPEL A_M_E_Z_ #2,650,4,0,2,21,0,381,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,677,10,408
MOBILE_INDIAN SPRINGS BAPTIST CH #1,145,3,0,4,425,0,63,0,0,15,1,23,0,59,0,0,1,6,1,0,34,0,180,2,0,577,307,78
MOBILE_INDIAN SPRINGS BAPTIST CH #2,130,2,0,9,398,0,57,0,0,6,2,13,1,49,0,0,2,1,1,0,18,0,95,1,0,539,183,63
MOBILE_JAMES SEALS JR PARK REC #1,350,2,0,5,43,0,236,0,1,19,1,2,0,5,0,0,0,3,1,0,10,0,14,1,0,400,37,256
MOBILE_JAMES SEALS JR PARK REC #2,391,3,0,3,49,0,206,1,0,21,0,2,0,4,1,0,0,4,1,0,9,0,9,0,0,446,30,228
MOBILE_JOSEPH DOTCH COMM CENTER #1,657,2,0,1,3,0,342,0,1,35,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,663,3,378
MOBILE_JOSEPH DOTCH COMM CENTER #2,654,2,0,2,10,0,307,0,2,34,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,668,4,343
MOBILE_J_C_ DAVIS AUDITORIUM #1,413,5,0,13,655,0,125,0,1,34,3,30,0,77,1,0,0,12,0,0,69,1,223,5,0,1086,421,160
MOBILE_J_C_ DAVIS AUDITORIUM #2,374,3,0,16,632,0,121,0,0,41,6,34,0,92,0,0,0,13,1,0,76,0,244,7,0,1025,473,162
MOBILE_KATE SHEPARD SCHOOL #1,163,5,0,16,623,0,27,0,0,22,1,17,0,83,0,1,1,27,6,0,76,0,131,5,0,807,348,49
MOBILE_KATE SHEPARD SCHOOL #2,77,4,0,15,315,0,35,0,0,28,2,30,1,97,0,0,0,36,1,0,132,1,172,6,0,411,478,63
MOBILE_LAFITTE BAPTIST CHURCH #1,339,7,0,28,1343,0,141,0,0,40,2,95,0,211,0,0,3,20,1,0,154,0,407,4,0,1717,897,181
MOBILE_LAFITTE BAPTIST CHURCH #2,237,5,0,21,995,0,112,0,1,24,6,65,2,154,0,0,1,16,3,0,110,0,288,4,0,1258,649,137
MOBILE_LIVING WORD CHURCH #1,250,5,0,33,925,0,72,0,0,20,2,52,0,130,0,0,0,34,4,0,95,0,202,6,0,1213,525,92
MOBILE_LIVING WORD CHURCH #2,299,6,0,35,1022,0,111,0,0,52,2,92,2,194,1,0,1,32,1,0,175,2,318,9,0,1362,829,163
MOBILE_LIVING WORD CHURCH #3,289,7,0,36,1110,0,78,0,0,29,4,56,0,174,0,0,0,28,4,0,142,1,275,7,0,1442,691,107
MOBILE_MEADOWLAKE ELEMENTARY #1,254,9,0,35,1014,0,89,1,2,23,0,41,0,181,1,0,0,18,2,0,108,0,392,9,0,1312,752,115
MOBILE_MEADOWLAKE ELEMENTARY #2,212,5,0,20,853,0,120,0,0,33,0,56,0,176,0,0,2,11,1,0,105,1,376,5,0,1090,733,153
MOBILE_MOBILE MUSEUM OF ART #1,246,5,0,25,584,0,84,0,0,54,0,50,1,83,1,1,0,61,4,0,185,0,178,5,0,860,569,138
MOBILE_MOBILE MUSEUM OF ART #2,255,4,0,28,572,0,60,0,0,41,1,31,0,55,0,0,1,44,1,0,105,0,127,8,0,859,373,101
MOBILE_MOBILE REGIONAL SENIOR COMM #1,345,4,0,26,581,0,162,0,1,42,1,55,1,131,0,0,0,43,2,0,121,0,240,6,0,956,600,205
MOBILE_MOBILE REGIONAL SENIOR COMM #2,417,5,0,27,652,0,237,0,0,69,2,62,0,168,1,1,0,40,1,0,164,0,298,11,0,1101,748,306
MOBILE_MOBILE REGIONAL SENIOR COMM #3,470,9,0,25,757,0,235,0,1,88,0,69,1,180,1,0,0,45,2,0,191,0,296,7,0,1261,792,324
MOBILE_MT ARARAT BAPTIST CHURCH #1,392,2,0,10,184,0,246,0,0,27,0,10,0,19,0,0,0,2,1,0,16,0,38,2,0,588,88,273
MOBILE_MT ARARAT BAPTIST CHURCH #2,502,1,0,6,153,0,210,0,0,18,0,8,0,16,0,0,0,3,0,0,8,0,36,2,0,662,73,228
MOBILE_MT VERNON CIVIC CENTER #1,345,2,0,4,296,0,146,0,1,12,0,8,0,15,0,0,0,3,0,0,13,0,65,5,0,647,109,159
MOBILE_MT VERNON CIVIC CENTER #2,187,1,0,1,122,0,83,0,0,15,0,10,0,17,0,0,1,1,1,0,13,0,37,1,0,311,81,98
MOBILE_MT VERNON COMM CENTER #1,228,1,0,1,19,0,136,0,0,13,0,3,0,0,0,0,0,0,0,0,4,0,10,2,0,249,19,149
