precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_WRITE-INS,gen_lib_JOHNSON,gen_rep_TRUMP,gen_rep_VOTES,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_PLEDGE,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_UNCOMMITTED,pri_rep_VOTES,gen_total,rep_pri_total,dem_pri_total
MOBILE_TILLMANS CORNER COMM CENTER #1,254,7,0,44,1002,0,61,0,0,41,5,43,0,122,1,0,1,20,1,0,70,0,337,13,0,1307,613,102
MOBILE_TILLMANS CORNER COMM CENTER #2,193,5,0,26,877,0,58,0,0,33,4,41,1,122,1,0,2,8,0,0,70,0,354,9,0,1101,612,91
MOBILE_TOULMINVILLE LIBRARY #1,809,4,0,4,9,0,433,1,2,22,0,2,0,0,0,0,0,0,0,0,1,0,3,1,0,826,7,458
MOBILE_TOULMINVILLE LIBRARY #2,654,5,0,0,11,0,416,0,1,26,0,1,0,3,0,0,0,1,0,0,0,0,4,0,0,670,9,443
MOBILE_TRAVIS ROAD BAPTIST CHURCH #1,225,10,0,23,779,0,89,1,0,33,0,38,0,154,1,0,1,26,1,0,124,0,309,10,0,1037,664,123
MOBILE_TRAVIS ROAD BAPTIST CHURCH #2,231,1,0,22,860,0,62,0,0,28,4,27,3,96,0,0,0,13,0,0,86,0,222,2,0,1114,453,90
MOBILE_TURNERVILLE COMM_ CENTER #1,110,1,0,7,1004,0,55,0,1,28,4,87,2,264,0,0,0,26,0,0,137,1,461,2,0,1122,984,84
MOBILE_TURNERVILLE COMM_ CENTER #2,121,1,0,13,1104,0,20,0,0,4,0,17,0,63,0,0,0,1,1,0,36,0,142,0,0,1239,260,24
MOBILE_UNION BAPTIST CHURCH #1,121,3,0,25,1016,0,37,0,0,11,2,33,0,100,1,0,1,9,1,0,70,0,185,9,0,1165,411,48
MOBILE_UNION BAPTIST CHURCH #2,120,4,0,22,843,0,52,0,1,18,1,53,0,179,0,0,3,23,4,0,110,0,297,7,0,989,677,71
MOBILE_UNIVERSITY CHURCH OF CHRIST #1,598,6,0,14,280,0,316,0,0,51,1,29,0,71,0,0,0,12,0,0,50,0,93,4,0,898,260,367
MOBILE_UNIVERSITY CHURCH OF CHRIST #2,722,9,0,12,264,0,228,0,0,49,0,17,0,50,0,0,1,10,0,0,38,1,92,5,0,1007,214,277
MOBILE_VIA_ SENIOR CENTER #1,364,11,0,64,487,0,153,1,0,130,10,45,0,98,0,0,0,85,7,0,216,0,239,14,0,926,714,284
MOBILE_VIA_ SENIOR CENTER #2,520,18,0,97,654,0,82,0,0,77,1,33,0,44,1,1,0,40,1,0,142,0,119,8,0,1289,390,159
MOBILE_VIGOR HIGH SCHOOL #1,801,3,0,3,9,0,467,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,816,2,498
MOBILE_VIGOR HIGH SCHOOL #2,646,2,0,6,13,0,200,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,667,2,222
MOBILE_WESTMINSTER PRESBYTERIAN #1,282,6,0,15,264,0,102,0,0,25,1,15,0,35,0,0,1,17,1,0,77,1,90,4,0,567,242,127
MOBILE_WESTMINSTER PRESBYTERIAN #2,339,6,0,18,333,0,95,0,0,28,1,18,1,52,0,0,0,19,0,0,73,0,102,3,0,696,269,123
MONROE_ABSENTEE,189,0,2,4,163,2,81,0,0,2,0,4,0,10,0,0,0,5,0,0,8,0,24,1,3,360,55,83
MONROE_ANTIOCH BAPTIST CHURCH 3,92,0,0,1,32,1,57,1,0,3,0,2,0,1,0,0,0,0,1,0,3,1,15,1,2,126,26,61
MONROE_BEATRICE TOWN HALL,345,1,0,2,78,7,249,0,0,9,1,5,0,10,0,0,1,5,0,0,8,1,24,2,7,433,64,258
MONROE_BETHEL BAPTIST CHURCH,418,1,3,0,2,5,273,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,429,8,288
MONROE_BUENA VISTA VREN FD,164,0,0,1,45,0,117,0,1,4,0,2,0,9,0,0,0,0,0,0,1,0,15,1,0,210,28,122
MONROE_CHRYSLER/ELISKA,66,1,0,0,146,1,44,0,0,7,1,4,0,20,0,0,1,1,0,0,11,0,49,2,0,214,89,51
MONROE_COLEMAN ASSEMBLY OF GOD,5,0,0,1,143,1,2,0,0,0,0,7,0,11,0,0,1,2,0,0,13,0,55,2,0,150,91,2
MONROE_EXCEL ASSEMBLY,156,5,3,11,1132,6,56,0,0,21,4,57,0,118,0,0,3,8,1,0,103,1,373,7,1,1313,676,77
MONROE_FRANKLIN FIRE STATION,43,0,0,0,136,0,20,0,1,2,0,3,0,31,0,0,0,4,0,0,8,0,44,0,1,179,91,23
MONROE_FRISCO BAPTIST CHURCH,334,1,3,9,324,2,162,1,1,14,0,15,0,27,0,0,2,9,1,0,39,1,123,2,2,673,221,178
MONROE_LIMESTONE FAULK,35,0,0,2,58,0,22,0,0,3,0,3,0,10,0,0,0,1,0,0,5,0,21,0,0,95,40,25
MONROE_LOWER PEACH TREE,231,0,0,0,2,0,179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,233,3,180
MONROE_MEGARGEL ASSEMBLY OF GOD,2,0,0,1,92,1,2,0,0,1,0,5,0,9,0,0,0,3,0,0,8,0,37,2,1,96,65,3
MONROE_MEXIA FIRE STATION,150,1,3,5,530,7,82,0,0,11,3,41,0,64,0,0,2,9,0,0,44,0,168,1,2,696,334,93
MONROE_MINEOLA METHODIST CHURCH,9,0,2,0,97,2,0,0,0,2,0,11,0,15,0,0,0,0,0,0,6,1,30,2,0,110,65,2
MONROE_MOCKINGBIRD INN,91,0,2,4,197,0,34,0,0,6,1,12,0,24,0,0,0,2,0,0,15,0,78,1,2,294,135,40
MONROE_MONROEVILLE ARMORY,545,2,12,18,736,8,255,1,1,29,1,62,0,67,0,0,1,21,0,0,158,0,250,8,6,1321,574,286
MONROE_MONROEVILLE FIRE STATION,160,0,1,10,285,2,76,0,0,5,0,32,1,28,0,0,1,7,1,0,44,0,96,3,1,458,214,81
MONROE_OAK GROVE BAPTIST CHURCH,19,0,0,2,128,0,11,0,0,4,1,5,0,12,0,0,2,1,0,0,5,0,56,0,1,149,83,15
MONROE_OLD TEXAS COMM CTR SIMPK,2,0,0,0,26,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,13,0,0,28,22,0
MONROE_PERDUE HILL MASONIC LODGE,147,1,0,1,137,2,82,1,0,14,0,7,0,18,0,1,1,1,0,0,10,0,52,0,1,288,91,97
MONROE_PHILADELPHIA BC TUN SPRI,157,0,1,0,25,0,106,0,0,7,0,1,0,4,0,0,0,0,0,0,1,0,10,0,5,183,21,113
MONROE_PROVISIONAL,22,1,2,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,1,3
MONROE_SHILOH MISSIONARY,36,0,0,0,24,1,27,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,11,1,1,61,15,30
MONROE_ST_ JOHN AME CHURCH,21,0,0,0,4,0,19,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,25,5,19
MONROE_WAINWRIGHT FINCH FD,64,0,0,1,72,0,39,0,0,2,0,1,0,15,0,0,0,0,0,0,8,0,17,1,1,137,43,41
MONTGOMERY_101 LEO DRUM THEATER/HUNT #1,0,0,0,0,0,0,141,0,1,81,4,50,0,77,0,0,3,88,0,0,208,0,177,16,5,0,628,223
MONTGOMERY_101 LEO DRUM THEATER/HUNT #2,303,3,34,23,511,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,0,0
MONTGOMERY_101 LEO DRUM THEATER/HUNT #3,509,8,43,39,684,16,150,0,2,69,5,65,0,73,0,1,0,99,1,0,205,1,198,6,3,1299,657,221
MONTGOMERY_101 LEO DRUM THEATER/HUNT #4,421,6,24,34,685,20,156,0,2,56,6,51,0,77,2,0,1,114,2,0,209,0,173,10,6,1190,651,214
MONTGOMERY_102 VAUGHN PARK CHURCH #1,849,6,12,24,643,6,536,0,2,90,3,97,0,121,1,0,1,74,0,0,167,0,263,17,7,1540,751,628
MONTGOMERY_102 VAUGHN PARK CHURCH #2,185,1,7,7,136,5,274,1,1,52,2,60,0,100,0,0,1,35,3,0,117,0,156,3,3,341,480,328
MONTGOMERY_102 VAUGHN PARK CHURCH #3,192,0,1,7,113,3,29,1,0,1,0,1,0,10,0,0,0,7,0,0,16,0,18,1,0,316,53,31
MONTGOMERY_102 VAUGHN PARK CHURCH #4,469,8,16,16,367,7,300,0,1,44,2,42,1,50,0,0,0,32,1,0,83,0,103,8,2,883,324,345
MONTGOMERY_103 MUSEUM OF FINE ARTS #1,299,1,4,12,145,4,208,0,0,39,1,36,0,68,0,0,0,26,0,0,61,0,110,5,1,465,308,247
MONTGOMERY_103 MUSEUM OF FINE ARTS #2,499,5,8,18,267,7,223,0,0,50,3,35,0,59,1,0,0,21,0,0,59,0,99,6,1,804,284,273
MONTGOMERY_103 MUSEUM OF FINE ARTS #3,419,3,11,12,283,5,84,0,0,15,1,17,0,20,0,0,0,5,0,0,11,0,33,4,0,733,91,99
MONTGOMERY_103 MUSEUM OF FINE ARTS #4,407,2,9,17,276,4,165,0,0,35,2,23,0,41,0,0,1,16,1,0,36,0,66,3,0,715,189,200
MONTGOMERY_104 WHITFIELD METHODIST #1,810,6,10,16,238,6,390,0,1,52,0,18,0,41,1,0,0,29,0,0,54,0,83,7,2,1086,235,443
MONTGOMERY_104 WHITFIELD METHODIST #2,551,6,6,9,131,2,252,0,0,39,1,14,0,31,0,0,1,9,0,0,18,0,59,5,1,705,139,291
MONTGOMERY_105 ALDERSGATE METHODIST #1,794,5,6,9,125,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0
MONTGOMERY_105 ALDERSGATE METHODIST #2,369,5,5,7,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,445,1,0
MONTGOMERY_105 ALDERSGATE METHODIST #3,0,0,0,0,1,0,476,0,1,74,1,26,0,31,0,0,1,12,0,0,35,0,55,5,1,1,167,551
MONTGOMERY_105 ALDERSGATE METHODIST #4,934,7,5,15,202,3,751,0,1,117,2,27,0,44,0,0,0,24,2,0,57,1,111,8,6,1166,282,869
MONTGOMERY_106 PETER CRUMP SCHOOL #1,778,11,1,4,27,3,351,0,0,34,0,1,0,5,0,0,0,2,0,0,1,0,10,1,0,824,20,385
MONTGOMERY_106 PETER CRUMP SCHOOL #2,613,5,3,3,23,1,339,0,1,33,1,0,0,4,0,0,0,4,0,0,1,0,5,2,0,648,17,373
MONTGOMERY_106 PETER CRUMP SCHOOL #3,573,5,0,2,16,3,286,0,0,33,0,2,0,7,0,0,0,1,0,0,1,0,6,3,0,599,20,319
MONTGOMERY_106 PETER CRUMP SCHOOL #4,448,3,4,2,20,0,351,0,1,40,0,2,0,3,1,0,0,1,0,0,5,0,6,3,1,477,22,392
MONTGOMERY_107 KINGDOM ENFORCERS #1,778,3,3,2,13,9,325,0,2,17,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,808,7,344
MONTGOMERY_107 KINGDOM ENFORCERS #2,500,1,2,1,18,2,312,0,0,28,0,5,0,0,0,0,0,0,0,0,0,0,9,2,0,524,16,340
MONTGOMERY_201 ST PAUL AME CHURCH #1,1099,12,19,29,246,2,570,1,1,88,2,38,0,41,0,0,1,29,2,0,62,0,79,9,14,1407,277,660
MONTGOMERY_201 ST PAUL AME CHURCH #2,948,6,18,23,258,7,476,1,1,84,3,17,0,34,1,0,0,28,0,0,50,0,83,4,2,1260,222,562
MONTGOMERY_202 BEULAH BAPTIST CHURCH #1,611,1,3,2,9,0,571,1,2,41,0,5,0,0,0,0,0,0,0,0,0,0,1,4,8,626,18,615
MONTGOMERY_202 BEULAH BAPTIST CHURCH #2,402,2,1,0,7,1,192,0,0,11,0,0,0,2,0,0,1,0,0,0,0,0,0,2,4,413,9,203
MONTGOMERY_202 BEULAH BAPTIST CHURCH #3,617,1,1,1,6,1,491,0,1,28,0,2,0,1,0,0,0,0,0,0,0,0,4,2,2,627,11,520
MONTGOMERY_202 BEULAH BAPTIST CHURCH #4,1238,2,5,6,11,5,496,0,0,30,0,1,0,1,0,0,0,1,0,0,0,0,2,2,5,1267,12,526
MONTGOMERY_203 HAYNEVILLE ROAD CC #1,644,3,2,4,75,2,200,0,2,16,0,1,0,4,0,0,0,0,0,0,0,0,12,0,0,730,17,218
MONTGOMERY_203 HAYNEVILLE ROAD CC #2,466,3,3,4,50,3,406,1,0,27,0,2,0,7,0,0,0,3,0,0,1,0,25,3,6,529,47,434
MONTGOMERY_204 FRESH ANNOINTING HOW #1,839,6,2,7,44,8,528,0,0,50,0,7,0,14,0,0,1,1,0,0,4,0,18,3,5,906,53,578
MONTGOMERY_204 FRESH ANNOINTING HOW #2,825,4,3,5,31,9,497,0,1,38,0,7,1,3,0,0,1,1,0,0,6,0,15,3,5,877,42,536
MONTGOMERY_204 FRESH ANNOINTING HOW #3,878,4,3,4,55,15,578,0,0,62,1,8,0,6,0,0,0,1,0,0,6,0,24,2,2,959,50,640
MONTGOMERY_204 FRESH ANNOINTING HOW #4,588,3,4,3,34,8,416,0,0,39,0,11,0,4,0,0,0,1,0,0,2,0,16,0,4,640,38,455
MONTGOMERY_205 SOUTHLAWN ELEMENTARY #1,1727,7,2,5,58,10,455,0,0,17,0,1,0,4,0,0,0,3,0,0,2,0,9,1,7,1809,27,472
MONTGOMERY_205 SOUTHLAWN ELEMENTARY #2,215,0,0,0,6,1,656,0,1,50,0,4,0,3,0,0,0,0,0,0,0,0,14,7,7,222,35,707
MONTGOMERY_206 FIRE STATION 14 #1,573,1,0,1,55,2,285,0,0,29,0,6,0,0,0,0,0,2,0,0,2,0,9,1,2,632,22,314
MONTGOMERY_206 FIRE STATION 14 #2,742,4,3,4,56,2,482,0,1,33,0,7,0,6,0,0,0,1,0,0,0,0,24,0,2,811,40,516
MONTGOMERY_207 HUNTER STATION CC #1,96,1,0,2,35,0,54,0,0,1,0,2,0,5,0,0,0,0,0,0,3,0,12,0,0,134,22,55
MONTGOMERY_207 HUNTER STATION CC #2,178,0,0,0,71,0,115,0,0,8,0,6,0,9,0,0,0,1,0,0,2,0,23,1,1,249,43,123
MONTGOMERY_208 CATOMA SCHOOL CC #1,301,3,2,11,519,3,53,0,0,10,0,21,0,18,0,0,0,1,0,0,10,0,76,3,0,839,129,63
MONTGOMERY_208 CATOMA SCHOOL CC #2,0,0,0,0,0,0,103,1,0,22,2,21,0,39,0,0,0,6,0,0,23,0,153,3,2,0,249,126
MONTGOMERY_209 1ST SOUTHERN BAPTIST #1,51,1,1,5,117,3,28,0,0,3,1,3,0,22,0,0,0,4,0,0,6,0,39,2,0,178,77,31
MONTGOMERY_209 1ST SOUTHERN BAPTIST #2,41,0,0,1,90,0,19,0,0,2,2,9,1,11,0,0,0,3,0,0,7,0,29,2,1,132,65,21
MONTGOMERY_210 PINTALA FIRE DEPARTMENT #1,136,0,3,4,243,2,89,1,1,9,1,30,1,40,0,0,0,7,1,0,24,0,105,0,0,388,209,100
MONTGOMERY_210 PINTALA FIRE DEPARTMENT #2,299,2,1,5,482,5,146,0,1,18,3,38,1,58,0,0,1,5,1,0,40,0,149,4,4,794,304,165
MONTGOMERY_211 RUFUS LEWIS LIBRARY #1,458,2,0,1,12,5,281,0,1,16,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,478,5,298
MONTGOMERY_211 RUFUS LEWIS LIBRARY #2,342,2,0,0,1,6,215,0,1,19,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,351,4,235
MONTGOMERY_301 DALRAIDA CH CHRIST #1,202,5,13,17,465,5,72,0,0,39,1,62,2,74,0,0,2,24,1,0,55,0,197,7,5,707,430,111
MONTGOMERY_301 DALRAIDA CH CHRIST #2,109,2,7,14,202,4,128,0,1,70,3,108,0,114,2,0,0,33,4,0,99,0,287,11,4,338,665,199
MONTGOMERY_301 DALRAIDA CH CHRIST #3,376,9,11,33,791,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,0,0
MONTGOMERY_301 DALRAIDA CH CHRIST #4,290,7,17,34,694,9,110,0,0,74,1,96,0,133,1,0,4,31,2,0,92,0,252,8,0,1051,620,184
MONTGOMERY_302 FLOWERS ELEMENTARY #1,437,9,11,28,715,6,125,0,0,48,3,60,0,75,0,1,1,16,0,0,54,0,223,6,5,1206,444,173
MONTGOMERY_302 FLOWERS ELEMENTARY #2,341,8,8,30,546,3,175,0,0,68,4,80,2,87,0,0,7,24,3,0,55,0,242,12,3,936,519,243
MONTGOMERY_303 EASTMONT BAPTIST CHURCH #1,286,3,24,20,683,7,84,0,0,27,5,71,0,73,1,0,0,43,4,0,86,2,203,7,2,1023,497,111
MONTGOMERY_303 EASTMONT BAPTIST CHURCH #2,259,5,23,20,638,3,128,0,0,46,2,87,1,124,1,0,2,45,0,0,125,0,273,8,7,948,675,174
MONTGOMERY_303 EASTMONT BAPTIST CHURCH #3,114,5,4,9,266,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0
MONTGOMERY_303 EASTMONT BAPTIST CHURCH #4,297,5,16,28,695,8,194,1,0,50,5,92,0,151,0,0,5,60,2,0,170,2,320,9,5,1049,821,245
MONTGOMERY_304 LAGOON PARK FIRE #1,474,9,14,39,845,10,263,1,0,71,5,119,1,158,0,1,2,45,2,0,145,0,375,6,7,1391,866,335
MONTGOMERY_304 LAGOON PARK FIRE #2,426,3,19,24,775,6,125,0,0,40,1,62,0,98,0,0,4,34,0,0,84,0,183,3,1,1253,470,165
MONTGOMERY_305 FRAZER METHODIST #1,365,3,12,10,346,4,290,1,0,52,1,102,1,115,1,0,1,45,0,0,121,0,213,6,3,740,609,343
MONTGOMERY_305 FRAZER METHODIST #2,506,3,12,23,441,2,227,1,1,51,2,42,0,82,2,1,0,28,0,0,76,0,125,7,2,987,367,280
MONTGOMERY_305 FRAZER METHODIST #3,1040,13,16,47,802,6,357,0,1,70,1,90,1,112,1,0,2,44,0,0,138,0,210,11,1,1924,611,428
MONTGOMERY_305 FRAZER METHODIST #4,480,4,13,24,524,5,360,0,1,102,6,69,1,105,0,0,1,43,2,0,107,0,192,3,2,1050,531,463
MONTGOMERY_306 EASTDALE BAPTIST #1,477,2,6,9,157,9,225,1,1,32,4,14,0,23,0,0,1,6,0,0,18,0,42,3,1,660,112,259
MONTGOMERY_306 EASTDALE BAPTIST #2,567,4,10,16,153,8,248,0,0,36,4,11,0,28,0,0,0,6,0,0,21,0,42,4,0,758,116,284
MONTGOMERY_401 ST JAMES BAPTIST #1,417,3,2,4,20,1,255,0,0,31,0,4,0,3,0,0,0,1,0,0,4,0,7,5,0,447,24,286
MONTGOMERY_401 ST JAMES BAPTIST #2,414,1,0,3,31,4,232,0,0,26,0,5,0,0,0,0,0,0,0,0,6,0,8,3,0,453,22,258
MONTGOMERY_402 MCINTYRE CC #1,393,2,4,0,4,0,575,2,1,39,0,0,0,0,0,0,0,0,0,0,2,0,5,4,0,403,11,617
MONTGOMERY_402 MCINTYRE CC #2,587,3,1,2,6,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,25
MONTGOMERY_402 MCINTYRE CC #3,441,1,3,2,9,2,275,0,0,16,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,458,6,291
MONTGOMERY_402 MCINTYRE CC #4,375,1,2,2,6,0,89,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,386,4,94
MONTGOMERY_403 CLEVELAND AVE YMCA #1,641,4,3,12,75,1,399,1,0,28,0,12,0,16,0,0,2,4,1,0,18,0,29,4,3,736,89,428
MONTGOMERY_403 CLEVELAND AVE YMCA #2,656,4,7,16,55,3,286,0,0,40,0,7,0,8,0,0,0,3,1,0,6,0,9,1,1,741,36,326
MONTGOMERY_404 ASU ACADOME #1,577,8,8,3,55,1,169,0,0,56,0,3,0,3,0,0,0,1,0,0,7,0,16,1,4,652,35,225
MONTGOMERY_404 ASU ACADOME #2,343,7,3,2,14,2,339,0,0,145,1,7,0,6,0,0,0,2,0,0,9,0,38,4,1,371,68,484
MONTGOMERY_405 HOUSTON HILLS CC #1,328,2,7,5,99,11,162,1,0,23,0,8,0,18,0,0,0,1,0,0,7,0,34,1,4,452,73,186
MONTGOMERY_405 HOUSTON HILLS CC #2,325,1,0,12,119,7,157,1,1,28,0,15,0,9,0,0,0,4,0,0,10,0,41,0,2,464,81,187
MONTGOMERY_406 NEWTOWN COMM CENTER #1,0,0,0,0,0,0,116,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,8,120
MONTGOMERY_406 NEWTOWN COMM CENTER #2,428,1,2,2,37,2,113,0,0,11,0,0,0,2,0,0,0,0,0,0,3,0,8,0,3,472,16,124
MONTGOMERY_407 KING HILL COMM CENTER #1,369,8,7,19,190,3,112,0,0,41,1,25,0,24,0,0,0,9,1,0,24,0,56,5,1,596,146,153
MONTGOMERY_407 KING HILL COMM CENTER #2,237,7,10,8,115,0,131,0,0,40,0,5,0,20,2,0,1,2,1,0,20,0,41,4,2,377,98,171
MONTGOMERY_408 HIGHLAND GARDENS CC #1,156,4,0,5,87,0,110,0,0,26,2,13,0,13,0,0,0,3,1,0,8,0,52,2,0,252,94,136
MONTGOMERY_408 HIGHLAND GARDENS CC #2,353,3,2,9,188,0,97,0,2,20,0,6,0,16,0,0,1,3,0,0,8,0,79,1,1,555,115,119
MONTGOMERY_409 CHISHOLM CC #1,310,3,3,4,103,1,144,0,0,31,0,9,0,10,0,0,0,1,0,0,7,0,26,2,2,424,57,175
MONTGOMERY_409 CHISHOLM CC #2,312,6,0,1,102,2,158,0,1,13,0,5,0,8,1,0,0,1,0,0,8,0,31,2,0,423,56,172
MONTGOMERY_411 UNION ACADEMY BAPTIST #1,18,0,0,2,14,0,38,0,1,4,1,9,0,6,0,0,0,1,0,0,3,0,27,1,0,34,48,43
MONTGOMERY_411 UNION ACADEMY BAPTIST #2,46,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0
MONTGOMERY_412 UNION CHAPEL AME #1,251,1,1,2,75,4,135,0,0,15,0,11,0,10,0,0,0,0,0,0,2,0,31,0,3,334,57,150
MONTGOMERY_412 UNION CHAPEL AME #2,238,0,1,2,87,4,151,0,0,18,0,4,0,3,0,0,0,0,0,0,6,0,21,2,6,332,42,169
MONTGOMERY_413 WARES FERRY ELEMENTARY #1,790,7,9,14,233,2,503,0,1,97,1,40,0,30,0,0,1,14,0,0,43,0,68,2,3,1055,202,601
MONTGOMERY_413 WARES FERRY ELEMENTARY #2,974,6,7,20,228,5,399,0,2,46,1,25,0,37,0,0,0,5,0,0,29,0,71,6,0,1240,174,447
MONTGOMERY_501 LANDMARK CH CHRIST #1,392,1,15,16,567,8,398,0,1,75,1,123,2,170,0,0,1,53,3,0,241,0,324,12,5,999,935,474
MONTGOMERY_501 LANDMARK CH CHRIST #2,456,6,15,27,698,11,361,0,1,77,6,104,2,166,1,0,2,87,3,0,198,0,304,9,4,1213,886,439
MONTGOMERY_501 LANDMARK CH CHRIST #3,596,4,23,31,601,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,0,0
MONTGOMERY_501 LANDMARK CH CHRIST #4,384,0,10,9,279,1,23,0,0,5,1,9,0,11,0,0,0,4,0,0,14,0,8,0,1,683,48,28
MONTGOMERY_502 SNOWDOUN WOMENS CLUB #1,130,1,2,10,272,1,22,0,0,9,1,15,0,16,0,0,0,4,0,0,13,0,47,0,1,416,97,31
MONTGOMERY_502 SNOWDOUN WOMENS CLUB #2,0,0,0,0,0,0,43,0,1,3,0,16,0,20,0,0,1,7,0,0,17,0,52,1,2,0,116,47
MONTGOMERY_504 RAMER PUBLIC LIBRARY #1,43,0,0,0,84,0,29,0,0,1,0,12,0,9,0,0,0,2,1,0,2,0,39,1,1,127,67,30
MONTGOMERY_504 RAMER PUBLIC LIBRARY #2,102,0,2,0,169,4,55,0,0,5,0,12,1,17,0,0,0,2,0,0,8,0,70,0,0,277,110,60
MONTGOMERY_505 FITZPATRICK ELEM SCHOOL #1,685,3,7,5,127,0,691,0,0,79,1,18,0,30,1,0,1,8,1,0,28,0,102,3,4,827,197,770
MONTGOMERY_505 FITZPATRICK ELEM SCHOOL #2,279,3,2,6,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0
MONTGOMERY_505 FITZPATRICK ELEM SCHOOL #3,740,5,5,7,139,3,17,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,0,0,899,7,17
MONTGOMERY_505 FITZPATRICK ELEM SCHOOL #4,490,3,3,3,87,4,622,2,2,70,0,22,0,26,0,0,0,3,0,0,26,0,64,5,5,590,151,696
MONTGOMERY_506 DAVIS CROSSROADS VFD #1,30,1,1,1,103,0,6,0,0,3,1,5,0,11,0,0,0,1,0,0,8,0,13,0,0,136,39,9
MONTGOMERY_506 DAVIS CROSSROADS VFD #2,23,0,0,2,66,2,19,0,0,2,1,7,0,17,0,0,0,1,0,0,7,0,52,1,1,93,87,21
MONTGOMERY_507 DUBLIN SO MO VFD #1,19,0,0,0,74,0,58,0,0,3,2,23,0,31,0,0,2,3,0,0,13,0,96,2,0,93,172,61
MONTGOMERY_507 DUBLIN SO MO VFD #2,87,0,1,2,219,0,5,0,0,2,0,2,0,2,0,0,0,0,0,0,1,0,6,0,1,309,12,7
MONTGOMERY_508 PINE LEVEL SO MO VFD #1,81,0,1,2,124,2,34,0,0,3,0,15,0,13,0,0,0,2,0,0,15,1,50,0,1,210,97,37
MONTGOMERY_508 PINE LEVEL SO MO VFD #2,63,0,0,3,142,1,35,0,0,5,3,11,0,15,0,0,0,1,0,0,7,0,51,2,1,209,91,40
MONTGOMERY_510 G_ WASHINGTON SCHOOL #1,600,6,28,15,639,4,192,0,0,29,0,59,0,53,0,1,0,18,0,0,80,1,117,6,1,1292,336,221
MONTGOMERY_510 G_ WASHINGTON SCHOOL #2,588,13,9,22,593,6,186,0,0,27,0,51,0,54,0,0,2,17,1,0,84,0,101,2,0,1231,312,213
MONTGOMERY_510 G_ WASHINGTON SCHOOL #3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTGOMERY_510 G_ WASHINGTON SCHOOL #4,409,6,19,15,454,1,386,0,1,58,0,97,0,94,0,0,0,29,3,0,133,1,189,6,2,904,554,445
MONTGOMERY_511 ARROWHEAD CC #1,208,1,8,9,481,3,87,0,0,22,4,58,1,66,0,0,0,25,1,0,102,0,137,5,4,710,403,109
MONTGOMERY_511 ARROWHEAD CC #2,183,4,3,9,413,4,93,1,0,20,1,35,3,65,0,0,0,38,0,0,85,0,165,3,0,616,395,114
MONTGOMERY_512 ST JAMES METHODIST #1,534,4,18,33,970,18,214,0,1,58,7,112,0,172,2,1,4,84,3,0,269,0,339,6,12,1577,1011,273
MONTGOMERY_512 ST JAMES METHODIST #2,196,1,6,14,385,4,228,0,1,43,2,79,0,152,1,0,0,86,1,0,273,0,307,10,3,606,914,272
MONTGOMERY_512 ST JAMES METHODIST #3,225,4,21,22,604,11,77,0,1,19,1,37,0,62,0,0,0,34,0,0,97,0,103,5,2,887,341,97
