precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_GALLEGO,gen_green_STEIN,gen_grn_BARAKA,gen_grn_STEIN,gen_ind_CASTLE,gen_ind_CUBBLER,gen_ind_FOX,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_LEE,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_MORROW,gen_ind_SOLTYSIK,gen_ind_STEFFES,gen_ind_STEIN,gen_ind_VALDIVIA,gen_lib_CORVALAN,gen_lib_JOHNSON,gen_rep_ARRINGTON,gen_rep_HURD,gen_rep_TRUMP,gen_unk_BARRIERE,gen_unk_CASE,gen_unk_CHRISTIE,gen_unk_CRUZ,gen_unk_ERSKINE,gen_unk_KUSHNER,gen_unk_LEAMER,gen_unk_LILLY,gen_unk_RODRIGUEZ,gen_unk_RUBIO,gen_unk_SANDERS,gen_unk_SCHULIN,gen_unk_WALKER,dem_primary_total,general_total
SMITH19,73,1,1,0,1,0,53,0,18,81,0,952,3,0,1,4,31,5,203,2,306,0,395,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,2465,0,0,0,0,0,0,0,0,0,0,0,0,0,129,2971
SMITH2,44,0,0,0,0,0,10,1,1,1,0,9,0,0,0,0,0,0,3,0,5,0,254,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,55,315
SMITH20,19,0,0,0,0,0,5,0,1,3,0,27,0,0,0,0,0,1,4,0,12,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,24,235
SMITH21,42,0,0,0,0,0,27,0,8,30,0,324,0,0,0,3,35,0,150,3,105,0,216,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1090
SMITH22,9,0,0,0,0,0,6,0,0,2,0,20,0,0,0,0,1,0,4,0,7,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,15,156
SMITH23,77,1,0,0,0,0,55,0,5,45,0,423,0,0,2,3,20,1,91,0,140,0,376,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1426
SMITH25,38,0,0,0,0,0,51,0,4,29,1,442,0,0,0,0,46,5,159,3,147,0,281,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1448
SMITH26,67,0,0,0,0,0,19,0,3,28,1,515,0,0,0,1,10,2,89,2,205,0,249,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1677
SMITH27,57,0,0,0,0,0,52,1,5,36,2,262,0,0,0,0,19,4,75,0,72,0,293,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1044
SMITH28,70,0,0,0,1,1,47,0,5,64,0,743,2,0,1,0,18,4,141,1,220,0,330,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2433
