county,precinct,office,district,candidate,party,votes
Queens,006/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Queens,006/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Queens,006/23,President,NYC,Scattered,,7
Queens,007/23,President,NYC,Manually Counted Emergency,,0
Queens,007/23,President,NYC,Absentee / Military,,41
Queens,007/23,President,NYC,Federal,,4
Queens,007/23,President,NYC,Special Presidential,,0
Queens,007/23,President,NYC,Affidavit,,8
Queens,007/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,243
Queens,007/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,473
Queens,007/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,53
Queens,007/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Queens,007/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,14
Queens,007/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,15
Queens,007/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Queens,007/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,007/23,President,NYC,Scattered,,5
Queens,008/23,President,NYC,Manually Counted Emergency,,0
Queens,008/23,President,NYC,Absentee / Military,,38
Queens,008/23,President,NYC,Federal,,6
Queens,008/23,President,NYC,Special Presidential,,0
Queens,008/23,President,NYC,Affidavit,,16
Queens,008/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,232
Queens,008/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,428
Queens,008/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,44
Queens,008/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Queens,008/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,9
Queens,008/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,13
Queens,008/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Queens,008/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,5
Queens,008/23,President,NYC,Scattered,,8
Queens,009/23,President,NYC,Manually Counted Emergency,,0
Queens,009/23,President,NYC,Absentee / Military,,74
Queens,009/23,President,NYC,Federal,,5
Queens,009/23,President,NYC,Special Presidential,,0
Queens,009/23,President,NYC,Affidavit,,21
Queens,009/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,293
Queens,009/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,434
Queens,009/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,35
Queens,009/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,14
Queens,009/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Queens,009/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,14
Queens,009/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Queens,009/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,4
Queens,009/23,President,NYC,Scattered,,6
Queens,010/23,President,NYC,Manually Counted Emergency,,0
Queens,010/23,President,NYC,Absentee / Military,,36
Queens,010/23,President,NYC,Federal,,4
Queens,010/23,President,NYC,Special Presidential,,0
Queens,010/23,President,NYC,Affidavit,,13
Queens,010/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,341
Queens,010/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,377
Queens,010/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,47
Queens,010/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
Queens,010/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Queens,010/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,17
Queens,010/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,010/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,4
Queens,010/23,President,NYC,Scattered,,8
Queens,011/23,President,NYC,Manually Counted Emergency,,0
Queens,011/23,President,NYC,Absentee / Military,,50
Queens,011/23,President,NYC,Federal,,1
Queens,011/23,President,NYC,Special Presidential,,0
Queens,011/23,President,NYC,Affidavit,,18
Queens,011/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,292
Queens,011/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,374
Queens,011/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,40
Queens,011/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,17
Queens,011/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Queens,011/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,9
Queens,011/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
Queens,011/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Queens,011/23,President,NYC,Scattered,,4
Queens,012/23,President,NYC,Manually Counted Emergency,,0
Queens,012/23,President,NYC,Absentee / Military,,113
Queens,012/23,President,NYC,Federal,,2
Queens,012/23,President,NYC,Special Presidential,,0
Queens,012/23,President,NYC,Affidavit,,22
Queens,012/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,279
Queens,012/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,133
Queens,012/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,12
Queens,012/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
Queens,012/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,12
Queens,012/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,7
Queens,012/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,012/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Queens,012/23,President,NYC,Scattered,,3
Queens,013/23,President,NYC,Manually Counted Emergency,,0
Queens,013/23,President,NYC,Absentee / Military,,22
Queens,013/23,President,NYC,Federal,,0
Queens,013/23,President,NYC,Special Presidential,,0
Queens,013/23,President,NYC,Affidavit,,17
Queens,013/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,256
Queens,013/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,242
Queens,013/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,31
Queens,013/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Queens,013/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Queens,013/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
Queens,013/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,013/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Queens,013/23,President,NYC,Scattered,,3
Queens,014/23,President,NYC,Manually Counted Emergency,,0
Queens,014/23,President,NYC,Absentee / Military,,33
Queens,014/23,President,NYC,Federal,,0
