county,precinct,office,district,candidate,party,votes
New York,030/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,440
New York,030/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,86
New York,030/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,3
New York,030/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,4
New York,030/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,5
New York,030/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,10
New York,030/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,0
New York,030/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,030/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,2
New York,031/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,031/73,U.S. Senate,NYC,Absentee / Military,,57
New York,031/73,U.S. Senate,NYC,Federal,,17
New York,031/73,U.S. Senate,NYC,Special Presidential,,0
New York,031/73,U.S. Senate,NYC,Affidavit,,5
New York,031/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,505
New York,031/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,125
New York,031/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,9
New York,031/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,3
New York,031/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,11
New York,031/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,5
New York,031/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,1
New York,031/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,2
New York,031/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,1
New York,032/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,032/73,U.S. Senate,NYC,Absentee / Military,,51
New York,032/73,U.S. Senate,NYC,Federal,,20
New York,032/73,U.S. Senate,NYC,Special Presidential,,0
New York,032/73,U.S. Senate,NYC,Affidavit,,12
New York,032/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,622
New York,032/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,170
New York,032/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,6
New York,032/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,9
New York,032/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,14
New York,032/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,11
New York,032/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,2
New York,032/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,032/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,8
New York,033/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,033/73,U.S. Senate,NYC,Absentee / Military,,42
New York,033/73,U.S. Senate,NYC,Federal,,17
New York,033/73,U.S. Senate,NYC,Special Presidential,,0
New York,033/73,U.S. Senate,NYC,Affidavit,,21
New York,033/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,582
New York,033/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,148
New York,033/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,8
New York,033/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,5
New York,033/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,6
New York,033/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,16
New York,033/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,0
New York,033/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,033/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,3
New York,033/73,U.S. Senate,NYC,Scattered,,1
