precinct,gen_con_BRADLEY,gen_dem_KAINE,gen_grn_BARAKA,gen_ind_BAYES,gen_ind_JOHNSON,gen_ind_MONAHAN,gen_lib_WELD,gen_rep_PENCE,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
FRANKLIN_5-B OZARK RURAL,0,4,0,0,0,0,1,29,2,0,0,0,0,1,0,0,0,12,0,0,1,0,0,0,2,0,4,34,19,3
FRANKLIN_5-C WEBB CITY,3,77,3,1,1,1,3,326,34,0,0,14,0,1,0,16,0,76,1,0,5,0,11,0,63,0,87,415,259,49
FRANKLIN_6-A ALTUS RURAL,1,45,1,1,3,1,6,175,27,0,0,13,0,0,0,4,0,28,0,0,3,0,2,0,19,0,47,233,103,40
FRANKLIN_6-B ALTUS CITY,2,57,0,1,0,2,6,155,24,1,2,18,0,0,0,1,0,30,0,0,3,0,4,0,14,0,52,223,104,45
FRANKLIN_6-C DENNING,0,17,0,0,0,1,3,47,13,0,0,1,0,0,0,1,0,12,0,0,0,0,2,0,3,0,11,68,29,14
FRANKLIN_6-D WEIDERKEHR VILLAGE,0,1,1,0,0,0,0,23,2,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,2,0,9,25,14,5
FRANKLIN_7-A CECIL,0,25,0,0,1,0,4,102,8,0,0,3,1,1,1,4,0,17,0,0,1,0,1,0,15,0,27,132,66,13
FRANKLIN_7-B WEBB CITY,0,22,2,2,0,0,0,120,9,0,0,6,0,0,0,1,0,18,0,0,5,0,1,1,14,0,27,146,67,15
FRANKLIN_7-C ETNA,2,44,2,0,0,2,6,255,22,0,2,10,0,0,0,4,0,83,0,0,1,0,3,0,29,0,55,311,175,34
FRANKLIN_7-D DONALD,1,36,1,0,5,0,9,174,24,0,1,4,0,0,0,8,1,46,0,0,1,0,3,1,20,0,38,226,118,29
FRANKLIN_8-A BRANCH CITY,1,32,0,0,1,0,3,65,11,0,0,4,0,0,1,2,0,9,0,0,1,0,1,0,5,0,8,102,27,15
FRANKLIN_8-B CHARLESTON CITY WD. 1,0,58,1,0,2,0,4,216,22,0,1,12,0,0,0,5,1,36,0,0,3,0,3,0,25,0,32,281,105,35
FRANKLIN_8-C CHARLESTON RURAL,2,26,0,2,1,0,4,116,14,0,0,5,0,0,0,2,0,22,0,0,1,0,2,1,14,1,32,151,75,19
FRANKLIN_8-D VESTA,2,35,1,1,4,0,4,143,18,0,0,0,0,0,0,5,0,34,0,0,1,0,5,0,26,0,35,190,106,18
FRANKLIN_8-E DONALD,0,9,1,0,0,1,0,17,4,0,1,4,0,0,0,0,0,3,0,0,1,0,0,0,1,0,2,28,7,9
FRANKLIN_8-F CECIL,0,6,0,0,0,0,1,14,3,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,0,6,21,16,3
FRANKLIN_8-G DONALD,0,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
FRANKLIN_9-A CHARLESTON WD. 2,5,82,2,1,6,0,10,288,52,0,0,14,0,0,0,18,1,53,0,0,3,0,2,1,39,0,44,394,161,66
FRANKLIN_9-B CHARLESTON WD. 3,1,71,2,2,3,2,12,155,29,0,1,13,0,0,2,5,0,27,0,0,0,0,2,0,23,0,25,248,84,43
FRANKLIN_9-C CHARLESTON RURAL,0,20,0,0,1,0,4,84,14,0,0,5,0,0,1,4,0,18,0,0,0,0,3,0,21,0,10,109,57,19
FULTON_ABSENTEE,0,41,2,1,2,0,5,104,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4,155,8,7
FULTON_AFTON,0,47,1,1,2,2,1,124,40,0,0,18,0,0,0,3,0,11,0,0,0,0,3,1,4,0,21,178,43,58
FULTON_BENTON/UNION,3,304,12,3,6,5,28,744,226,13,6,153,6,11,2,27,0,65,0,0,3,0,5,0,29,0,102,1105,233,415
FULTON_CHEROKEE VILLAGE,2,91,1,2,2,1,8,251,23,0,0,28,0,0,0,10,0,30,0,0,0,0,6,0,34,0,90,358,170,51
FULTON_CLEVELAND,1,26,1,1,1,0,5,135,13,0,0,21,2,0,0,6,0,17,0,0,2,0,0,1,6,0,39,170,71,36
FULTON_FULTON/MT CALM,4,76,5,1,0,4,9,408,71,1,3,55,4,5,0,5,0,42,0,0,1,0,3,1,17,0,57,507,126,139
FULTON_MAMMOTH SPRING,2,136,3,2,2,3,15,472,89,0,2,45,3,2,1,25,0,62,0,0,3,0,5,1,30,0,104,635,231,141
FULTON_MYATT,2,19,0,0,1,1,3,55,14,0,2,7,1,1,0,2,0,4,0,0,1,0,1,0,2,0,9,81,19,25
FULTON_PLEASANT RIDGE,0,94,2,3,3,2,5,295,53,0,1,32,1,1,0,6,0,46,0,0,2,0,4,1,17,0,60,404,136,88
FULTON_SOUTHFORK/WILSON,1,82,3,0,0,3,2,243,65,3,0,39,1,2,0,3,0,19,0,0,0,0,1,0,12,0,60,334,95,110
FULTON_STRAWBERRY,1,53,5,1,4,1,14,235,39,1,5,21,2,2,0,12,0,29,1,0,0,0,1,0,11,0,42,314,96,70
FULTON_VIDETTE/BIG CREEK,1,56,5,2,1,0,10,281,41,3,4,25,0,2,0,9,0,48,0,0,3,0,3,0,10,0,41,356,114,75
FULTON_WASHINGTON,1,42,1,2,3,0,2,124,24,0,0,25,0,1,0,3,0,10,0,0,0,0,0,0,8,0,23,175,44,50
GARLAND_011,2,334,15,4,5,6,27,346,84,0,0,68,0,0,3,11,1,40,0,0,3,0,5,1,37,0,75,739,176,152
GARLAND_012,4,378,27,16,14,8,28,271,122,1,1,85,0,0,2,14,2,32,0,0,2,0,6,2,33,0,57,746,150,209
GARLAND_013,3,208,2,5,10,3,13,302,40,0,1,14,0,0,0,16,0,52,0,0,2,0,15,0,62,0,44,546,191,55
GARLAND_014,1,116,7,3,5,3,16,519,40,0,0,18,0,2,1,23,0,104,0,0,3,0,6,0,47,0,96,670,280,60
GARLAND_021,5,467,13,6,13,5,25,232,138,0,0,51,0,0,0,13,0,29,0,0,2,0,5,0,32,0,47,766,128,189
GARLAND_022,9,520,6,8,18,8,17,146,183,0,2,41,0,0,0,2,0,10,0,0,0,0,0,1,12,0,32,732,57,226
GARLAND_023,0,45,1,1,0,3,1,115,13,0,0,6,0,0,1,12,0,17,0,0,2,0,0,0,18,0,31,166,81,19
GARLAND_024,3,7,1,1,0,0,1,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,29,6,4
GARLAND_031,0,11,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,43,7,2
GARLAND_032,5,179,6,4,9,1,8,320,58,0,0,20,0,0,2,7,0,39,2,0,1,0,12,2,40,0,65,532,170,78
GARLAND_033,5,484,21,13,10,5,25,475,127,0,2,54,1,0,1,18,0,62,1,1,7,0,4,1,50,1,107,1038,253,184
GARLAND_034,2,340,13,5,10,2,15,272,88,0,0,54,0,0,2,14,1,48,0,0,3,0,1,0,38,0,52,659,159,142
GARLAND_041,3,314,8,4,12,3,22,442,90,0,0,56,1,3,3,13,0,57,0,0,3,0,4,0,67,0,84,808,231,150
GARLAND_042,6,426,9,4,20,3,19,565,175,0,0,38,1,0,2,36,1,88,0,0,7,0,22,2,111,0,135,1052,404,214
GARLAND_043,3,189,9,2,3,1,13,428,68,0,0,39,0,0,1,12,1,47,0,0,1,0,21,1,49,0,118,648,251,107
GARLAND_044,0,326,5,2,8,2,22,530,117,0,0,31,1,0,1,13,0,64,0,3,0,0,17,5,104,1,130,895,338,149
GARLAND_051,1,111,4,4,4,1,10,64,24,0,0,13,0,0,1,1,0,8,0,0,3,0,3,2,10,0,12,199,40,37
GARLAND_052,1,114,10,1,0,3,5,144,44,0,0,23,1,0,0,11,1,22,0,1,1,0,6,0,11,0,36,278,89,68
GARLAND_053,8,354,10,4,8,7,16,626,150,1,2,51,1,1,2,24,3,106,2,0,5,0,13,1,107,0,161,1033,424,206
GARLAND_054,6,459,4,12,18,6,44,1022,179,1,0,67,0,0,4,43,3,173,0,1,8,1,34,1,199,0,214,1571,681,247
GARLAND_061,0,57,7,0,3,0,2,148,21,0,0,13,0,0,0,8,0,24,0,0,2,0,5,0,28,0,25,217,92,34
GARLAND_062,0,105,3,0,4,0,8,162,36,0,1,17,0,0,2,5,0,24,0,0,0,0,5,0,39,0,29,282,104,54
GARLAND_063,7,430,14,16,16,4,56,968,169,1,1,67,1,1,5,52,0,181,3,0,8,0,25,5,186,0,165,1511,630,240
GARLAND_064,7,432,7,10,13,5,35,892,157,0,1,55,0,0,19,37,2,123,1,1,7,0,59,3,251,0,233,1401,736,213
GARLAND_065,0,20,0,2,0,0,0,34,17,0,1,2,0,0,1,1,0,7,0,0,0,0,0,0,10,0,7,56,26,20
GARLAND_071,1,82,3,3,7,1,9,218,30,0,1,16,1,1,0,4,0,50,0,0,2,0,6,0,26,0,48,324,136,49
GARLAND_072,2,248,5,3,8,3,26,604,86,1,0,33,0,0,1,18,0,90,0,0,1,0,21,0,114,0,154,899,399,120
GARLAND_073,8,282,3,1,13,1,21,720,96,0,0,42,0,0,0,34,0,109,2,0,8,1,20,1,141,0,183,1049,499,138
GARLAND_074,4,478,9,9,19,6,45,1143,107,0,2,37,0,0,2,26,3,138,0,0,7,0,19,1,182,0,183,1713,561,146
GARLAND_081,3,60,6,0,5,5,6,268,11,0,0,20,0,0,2,6,0,54,0,0,1,0,4,1,31,0,36,353,135,31
GARLAND_082,3,310,8,10,7,5,31,1070,95,2,0,53,0,0,2,43,0,183,0,2,6,0,14,1,137,2,202,1444,592,150
GARLAND_083,4,236,7,9,7,6,23,777,83,1,2,38,0,0,2,25,1,109,1,0,4,0,14,1,103,0,150,1069,410,124
GARLAND_084,4,131,3,8,4,4,14,490,57,0,0,27,0,0,0,17,3,62,0,0,7,0,13,0,83,0,108,658,293,84
GARLAND_091,3,96,6,3,5,2,23,323,35,0,0,21,0,1,0,7,1,55,0,0,6,0,7,3,39,0,59,461,177,57
GARLAND_092,2,147,5,2,3,0,16,611,49,0,1,26,0,2,2,22,1,86,1,0,7,0,9,2,89,1,118,786,338,78
GARLAND_093,5,405,14,8,14,4,30,938,147,1,1,65,0,1,7,28,1,139,0,0,7,0,22,1,165,0,212,1418,582,215
GARLAND_094,4,160,2,4,4,2,13,478,55,0,0,17,0,0,2,19,0,82,0,1,3,0,7,0,78,0,87,667,279,72
GARLAND_095,0,36,3,2,0,1,6,83,9,0,1,11,0,0,0,0,0,20,0,0,1,0,0,1,10,0,18,131,50,21
GARLAND_101,5,107,2,2,10,3,6,458,37,0,0,19,0,0,4,21,0,104,0,0,5,1,2,0,44,0,122,593,303,56
GARLAND_102,2,88,6,3,1,5,13,422,35,0,1,22,0,0,1,13,1,66,0,2,7,0,11,3,46,0,96,540,246,58
GARLAND_103,2,317,17,9,6,3,33,739,105,0,0,51,1,0,4,25,0,92,0,1,9,0,17,0,91,0,147,1126,386,157
GARLAND_104,3,130,4,5,8,3,10,293,38,0,1,30,0,0,1,15,0,35,1,0,2,0,3,1,35,0,63,456,156,69
GARLAND_111,3,57,3,3,3,2,3,217,16,0,1,6,0,2,0,0,0,43,0,0,1,0,0,0,17,0,42,291,103,25
GARLAND_112,0,27,0,0,0,1,1,133,11,0,0,3,0,0,1,3,0,29,0,0,0,0,3,0,14,0,27,162,77,14
GARLAND_113,8,444,8,9,11,5,39,1241,135,0,2,64,1,0,3,50,1,218,1,0,5,0,36,0,180,2,267,1765,763,202
GARLAND_114,3,432,8,9,8,13,28,1073,159,0,1,45,2,1,4,30,2,160,0,0,7,1,46,1,209,0,242,1574,702,208
GARLAND_115,3,136,1,1,5,1,4,245,42,0,0,18,0,0,0,8,0,47,0,0,2,0,19,0,53,0,67,396,196,60
GARLAND_121,2,182,6,6,6,5,23,431,60,0,0,14,0,1,1,16,1,77,0,0,5,1,3,1,25,0,94,661,224,75
GARLAND_122,4,277,18,8,8,8,22,762,86,0,2,62,1,1,1,20,0,127,0,0,11,0,7,1,69,0,154,1107,390,152
GARLAND_123,1,94,6,2,3,1,15,464,23,0,0,16,0,0,1,11,0,93,0,0,2,0,3,0,53,0,64,586,227,39
GARLAND_125,1,43,1,1,7,0,1,99,20,0,0,6,0,0,0,2,1,16,0,0,0,0,10,0,26,0,20,153,75,26
GARLAND_131,0,106,6,3,5,1,16,276,30,0,0,22,0,0,0,10,0,40,0,0,4,0,4,4,38,0,55,413,155,52
GARLAND_132,3,455,8,13,12,8,31,1205,160,0,0,49,0,0,4,52,2,187,3,0,4,0,69,0,280,0,311,1735,912,209
GARLAND_133,5,261,14,13,7,4,40,1025,77,0,1,49,0,1,2,53,1,157,0,1,8,0,11,0,119,0,211,1369,563,128
GARLAND_134,2,58,3,3,0,0,13,210,22,0,0,16,0,0,2,6,0,58,0,0,1,0,5,0,20,0,42,289,134,38
GRANT_CALVERT,1,72,0,2,7,6,16,523,38,2,4,38,2,1,0,7,0,118,0,0,4,0,6,0,35,1,80,627,251,85
GRANT_DARYSAW,1,101,0,0,1,1,3,195,53,0,0,20,1,1,0,1,0,43,0,0,4,1,0,0,12,0,20,302,81,75
GRANT_DAVIS,2,19,1,3,4,4,1,116,9,1,0,2,1,0,1,1,0,41,0,0,0,0,1,0,15,0,17,150,76,13
GRANT_DEKALB 1,0,21,1,0,1,1,3,99,11,0,0,2,0,0,0,4,0,15,0,0,3,0,0,0,16,0,15,126,53,13
GRANT_DEKALB 2,1,49,1,0,0,0,8,154,26,0,0,13,0,0,0,7,0,35,0,0,1,0,0,0,28,0,33,213,104,39
GRANT_FENTER,2,52,0,2,2,2,11,262,28,1,1,12,0,0,0,5,0,47,0,0,2,0,1,0,24,0,61,333,140,42
GRANT_FRANKLIN,1,18,0,0,1,0,2,105,12,0,0,4,1,0,0,1,0,20,0,0,0,0,0,1,9,0,26,127,57,17
GRANT_MADISON,0,43,2,2,0,0,5,216,23,0,0,21,0,0,0,4,0,36,0,0,1,0,1,2,23,0,50,268,117,44
GRANT_MERRY GREEN 1,2,102,1,0,1,2,7,483,43,0,1,25,4,1,1,8,1,125,0,0,4,0,2,0,53,0,78,598,272,74
GRANT_MERRY GREEN 2,3,84,2,2,2,2,17,389,49,0,1,18,2,1,0,13,0,83,0,0,5,0,1,0,46,0,73,501,221,71
GRANT_RIVER,2,125,6,2,1,0,8,377,69,1,1,14,1,1,0,11,1,112,0,0,0,0,7,1,43,0,57,521,232,87
GRANT_SIMPSON 1,8,77,3,1,4,1,13,421,33,0,0,12,0,0,0,8,1,91,0,0,1,0,8,0,32,0,73,528,214,45
GRANT_SIMPSON 2,0,46,2,0,1,2,11,324,14,0,1,12,3,1,0,9,0,98,0,0,1,0,0,2,37,0,45,386,192,31
GRANT_TENNESSEE,5,41,1,0,3,3,6,181,20,0,0,10,0,2,0,6,1,50,0,2,2,0,2,0,26,0,30,240,119,32
GRANT_WARD 1,1,138,2,0,4,2,21,512,61,0,1,26,1,0,1,14,0,117,0,0,1,0,5,1,64,0,88,680,291,89
GRANT_WARD 2,3,138,3,1,5,2,17,453,73,0,2,26,4,2,4,10,0,95,0,0,1,0,10,1,65,0,81,622,267,107
GRANT_WARD 3,1,141,2,4,3,2,18,363,66,0,1,19,1,0,0,3,1,81,0,0,3,0,8,0,66,0,65,534,227,87
GRANT_WASHINGTON,3,106,3,2,11,2,10,552,62,0,1,26,0,1,1,13,2,122,1,0,0,0,7,1,58,0,118,689,323,90
GREENE_BLUE CANE,0,2,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,2
GREENE_BRECKENRIDGE,1,62,1,1,1,1,6,228,26,0,0,9,2,1,0,6,0,39,0,0,2,0,2,0,25,0,53,301,127,38
GREENE_BRYAN,0,11,0,2,0,0,2,39,8,0,0,2,0,0,0,0,0,3,0,0,1,0,3,0,1,0,8,54,16,10
GREENE_CACHE,4,98,2,6,1,1,9,375,34,0,1,26,0,0,4,12,0,81,0,0,6,0,4,0,27,0,58,496,192,61
GREENE_CLARK,0,17,2,0,0,0,0,45,4,1,0,0,0,0,0,2,0,6,0,0,0,0,0,1,1,0,5,64,15,5
GREENE_COLLIER,0,35,2,1,0,1,2,81,17,0,0,5,0,1,0,0,0,15,0,0,1,0,2,0,6,0,14,122,38,23
GREENE_CROWLEY,0,17,0,1,1,0,7,80,14,0,0,6,0,0,0,6,0,12,0,0,1,0,1,0,10,0,16,106,46,20
GREENE_DELAPLAINE-JONES,0,6,0,1,0,0,1,25,2,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,2,0,8,33,14,5
GREENE_EVENING SHADE,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1
GREENE_FRIENDSHIP,0,65,3,2,4,1,9,306,34,1,2,17,0,0,0,19,0,40,0,0,4,0,1,0,20,0,66,390,150,54
GREENE_HAYS,0,4,0,0,0,0,1,25,0,0,0,1,0,0,0,2,0,3,0,0,0,0,1,0,4,0,2,30,12,1
GREENE_HOPEWELL,0,21,0,0,1,0,0,113,5,0,0,1,1,0,0,1,0,12,0,0,1,0,2,0,18,0,21,135,55,7
GREENE_HURRICANE,0,64,0,1,1,0,4,151,24,0,1,2,0,0,1,2,0,35,0,0,2,0,3,1,12,0,34,221,90,27
GREENE_JONES,0,27,0,1,0,1,2,61,12,0,0,3,0,0,0,1,0,6,0,0,1,0,0,0,4,0,15,92,27,15
GREENE_LAFE-BRECKENRIDGE,0,31,2,3,1,0,6,61,12,0,0,7,0,0,0,1,0,14,0,0,2,0,3,0,12,0,21,104,53,19
GREENE_LAKE,0,13,0,1,0,0,0,52,10,0,0,2,0,0,0,0,0,6,0,0,1,0,1,0,7,0,7,66,22,12
GREENE_MAINSHORE,0,20,0,1,2,0,1,68,13,0,0,0,0,0,1,4,0,4,0,0,1,0,1,0,9,0,13,92,33,13
GREENE_MARMADUKE-HURRICANE,1,81,3,6,4,0,10,219,31,0,1,14,0,0,1,7,1,32,0,0,2,0,1,1,39,0,34,324,118,46
GREENE_OAK GROVE-UNION,0,59,2,3,2,0,11,278,24,0,0,18,0,0,3,8,0,47,0,0,3,0,4,0,29,0,47,355,141,42
GREENE_POLAND,4,77,1,2,3,1,13,539,33,0,0,16,0,1,0,20,1,107,0,0,8,0,5,0,60,1,120,640,322,50
GREENE_REYNOLDS,0,5,0,0,0,0,0,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,21,7,2
GREENE_SALEM,6,59,1,3,2,1,6,242,31,1,1,12,0,0,1,12,0,64,0,0,3,0,1,0,20,0,33,320,134,45
GREENE_SHADY GROVE,0,13,1,2,1,0,3,42,6,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,8,0,1,62,16,8
GREENE_SPRING GROVE,1,56,3,1,3,0,14,283,19,0,0,14,1,0,1,13,0,47,0,0,5,0,4,0,33,0,52,361,155,34
GREENE_ST. FRANCIS,0,53,0,3,6,0,7,337,17,0,0,13,1,0,1,7,0,53,0,0,1,0,6,0,46,0,50,406,164,31
GREENE_SUGAR CREEK,1,58,1,2,0,0,7,242,23,0,0,6,0,2,0,8,1,44,0,0,3,0,5,1,27,0,53,311,142,31
GREENE_UNION,1,120,9,5,3,3,13,487,36,0,2,27,0,0,1,15,1,59,0,1,8,0,14,0,46,0,82,641,227,65
GREENE_WALNUT CORNER,0,5,0,0,2,0,0,14,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,21,8,3
GREENE_WARD 1,2,313,4,3,15,2,45,997,109,0,1,42,2,2,13,29,1,146,1,0,9,1,27,3,154,0,222,1381,606,156
GREENE_WARD 1A,5,265,7,12,12,3,40,903,102,1,0,59,0,1,9,25,3,175,1,1,13,0,13,1,144,0,168,1247,553,163
GREENE_WARD 2,3,459,15,12,14,5,54,1107,190,2,1,90,3,2,16,51,3,155,2,1,22,0,43,3,122,1,257,1669,676,288
GREENE_WARD 2A,2,145,9,2,14,3,21,589,59,0,2,27,1,0,1,8,0,75,0,0,10,0,8,0,73,0,103,785,278,89
GREENE_WARD 3,1,278,15,5,11,8,43,594,103,0,4,63,4,1,2,16,0,69,0,0,18,0,2,0,45,0,112,955,264,175
GREENE_WARD 3A,0,2,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,14,3,0
GREENE_WARD 4,1,306,8,10,15,3,29,1176,131,0,3,55,8,0,9,53,0,188,0,0,18,0,23,5,164,0,237,1548,697,197
GREENE_WARD 4A,2,197,5,5,15,2,34,807,91,1,2,39,2,2,6,43,0,140,0,0,15,0,21,3,125,0,162,1067,515,137
GREENE_WARD 4B,0,7,0,0,0,0,1,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,22,4,0
GREENE_WARD 4C,0,19,1,1,2,1,3,101,11,0,1,3,0,0,1,3,0,15,1,1,0,0,4,1,24,0,21,128,71,15
HEMPSTEAD_BINGEN,1,45,0,1,1,0,3,260,19,0,2,9,0,1,0,15,0,50,0,0,3,0,3,0,30,0,46,311,147,31
HEMPSTEAD_BLEVINS,2,61,0,0,2,1,3,288,32,1,1,7,0,0,1,13,0,61,0,0,4,1,5,0,18,0,58,357,161,41
HEMPSTEAD_COLUMBUS,0,54,1,1,1,0,2,48,18,0,0,1,0,0,1,1,0,6,0,0,1,1,3,0,3,0,10,107,26,19
HEMPSTEAD_CROSSROADS,1,31,0,1,1,1,0,80,15,1,0,6,0,0,0,1,0,14,0,0,1,0,1,0,1,0,18,115,36,22
HEMPSTEAD_DEANN,0,40,1,0,3,0,10,179,14,0,1,9,0,0,0,7,0,40,0,0,0,0,4,0,12,0,43,233,106,24
HEMPSTEAD_FULTON,1,96,0,1,3,0,4,87,45,0,2,6,2,0,0,2,0,21,0,0,1,0,1,0,5,0,14,192,44,55
HEMPSTEAD_GUERNSEY,2,39,1,1,2,1,2,99,15,0,0,1,1,0,0,2,0,20,0,0,0,0,0,0,5,0,24,147,51,17
HEMPSTEAD_HOPE 1,6,348,1,5,4,2,8,236,90,0,3,18,0,2,0,7,0,36,0,0,6,0,7,1,20,0,37,610,114,113
HEMPSTEAD_HOPE 2,2,311,2,2,2,0,4,69,85,0,1,10,0,1,0,2,0,3,0,0,0,0,5,0,7,0,6,392,23,97
HEMPSTEAD_HOPE 3,3,169,1,3,5,2,9,307,59,0,1,6,1,0,1,13,0,68,0,0,5,0,14,1,50,0,49,499,201,67
HEMPSTEAD_HOPE 4,2,258,1,3,2,1,4,58,66,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,2,0,11,329,20,76
HEMPSTEAD_HOPE 5,4,253,2,3,5,2,13,283,75,1,0,18,1,1,1,6,1,53,0,0,8,0,12,0,57,0,58,565,196,96
HEMPSTEAD_HOPE 6,1,36,1,2,1,2,1,214,12,0,1,4,0,0,0,3,1,51,0,0,0,0,2,1,24,0,37,258,119,17
HEMPSTEAD_HOPE 7,2,105,3,4,1,1,11,406,34,0,0,12,0,0,1,12,0,73,0,0,9,0,2,1,38,0,82,533,218,46
HEMPSTEAD_MCCASKILL,1,61,0,1,2,1,1,208,26,0,0,11,0,0,0,4,0,44,0,0,4,0,3,0,17,0,35,275,107,37
HEMPSTEAD_MCNAB,0,24,0,0,0,0,1,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,39,4,9
HEMPSTEAD_OZAN,3,129,1,2,1,4,3,109,43,0,1,5,0,0,0,0,0,20,0,0,3,0,1,0,13,0,14,252,51,49
HEMPSTEAD_PATMOS,0,34,0,1,1,0,3,149,13,0,0,7,0,2,0,5,0,28,0,1,2,0,1,1,8,0,39,188,85,22
HEMPSTEAD_PERRYTOWN,2,25,0,0,1,0,3,146,13,0,1,1,0,1,0,4,0,27,0,0,1,0,0,0,5,0,33,177,70,16
HEMPSTEAD_ROCKY MOUND,0,46,0,1,3,0,7,142,17,0,2,2,0,0,0,1,0,43,0,0,1,0,6,0,13,0,23,199,87,21
HEMPSTEAD_SARATOGA,0,32,0,1,0,1,1,89,12,0,0,5,0,0,0,1,0,16,0,0,1,0,3,0,5,0,30,124,56,17
HEMPSTEAD_SHOVER SPRINGS,1,39,3,1,4,0,6,206,19,0,0,5,3,0,1,7,0,36,0,0,2,1,7,1,21,0,46,260,122,27
HEMPSTEAD_SPRINGHILL,1,59,3,3,2,1,5,659,22,0,1,8,1,1,0,10,0,186,0,0,11,0,8,1,33,0,87,733,336,33
HEMPSTEAD_WASHINGTON,3,82,1,0,1,0,2,65,33,0,1,3,0,0,0,3,0,14,0,0,0,0,4,0,7,0,18,154,46,37
HOT SPRING_ANTIOCH,1,21,1,2,0,0,1,144,11,1,0,20,0,0,0,4,0,41,0,0,0,0,0,0,5,0,33,170,83,32
HOT SPRING_BIG CREEK,0,27,1,1,0,0,2,175,12,0,0,9,0,2,1,7,0,40,0,0,1,0,3,0,29,0,39,206,120,23
HOT SPRING_BISMARCK,7,218,11,4,14,3,23,675,97,3,4,70,2,1,1,12,1,93,0,0,5,1,9,2,75,0,136,955,335,177
HOT SPRING_BROWN SPRINGS,0,13,1,1,1,1,0,85,15,0,1,9,0,1,0,9,0,14,0,0,0,0,0,0,8,0,9,102,40,26
HOT SPRING_BUTTERFIELD,1,74,1,3,3,3,14,286,32,0,1,17,0,4,1,6,0,57,1,0,2,0,4,0,25,0,54,385,150,54
HOT SPRING_CLEAR CREEK,0,31,2,2,0,1,1,115,22,0,0,7,0,0,0,0,0,26,0,0,3,0,2,0,7,0,28,152,66,29
HOT SPRING_DEROCHE,7,128,6,5,5,6,9,422,82,1,2,39,0,4,1,5,0,70,0,0,2,0,1,0,42,0,80,588,201,128
HOT SPRING_DONALDSON CITY,0,17,2,1,0,0,2,72,5,1,0,4,1,1,0,6,0,18,0,0,1,0,1,0,10,0,8,94,44,12
HOT SPRING_DOVER,0,47,0,1,1,2,16,251,26,0,1,21,1,3,0,4,1,38,0,0,2,0,4,0,25,0,61,318,135,52
HOT SPRING_FENTER A,1,109,5,2,2,1,5,323,38,3,4,30,0,0,0,9,0,64,0,0,0,0,3,0,36,0,56,448,168,75
HOT SPRING_FENTER B,0,74,2,1,3,3,3,244,29,1,1,6,1,1,1,3,0,31,0,0,0,0,4,0,34,0,46,330,119,39
HOT SPRING_FENTER C,0,79,0,0,0,0,2,30,41,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,111,7,45
HOT SPRING_FRIENDSHIP,0,18,0,0,1,0,2,60,6,1,0,6,0,0,0,2,0,9,0,0,0,0,0,0,7,0,4,81,22,13
HOT SPRING_GIFFORD,1,84,7,6,4,4,3,383,41,0,3,25,1,1,0,9,0,71,0,0,4,0,7,0,30,0,99,492,220,71
HOT SPRING_HARRISON,0,18,0,5,2,2,4,78,15,0,1,4,0,0,0,1,0,18,0,0,0,0,3,0,6,0,12,109,40,20
HOT SPRING_HENDERSON,1,64,3,2,5,2,8,241,27,0,1,33,0,1,0,17,1,43,0,1,3,0,1,0,16,0,50,326,132,62
HOT SPRING_LONE HILL,2,73,3,0,1,3,6,258,34,0,1,27,4,2,1,9,0,54,0,0,1,0,0,0,33,0,59,346,157,68
HOT SPRING_MAGNET,1,219,10,9,8,10,29,985,90,2,2,54,1,4,0,20,1,146,0,0,9,1,6,0,107,0,175,1271,465,153
