precinct,gen_con_BRADLEY,gen_dem_KAINE,gen_grn_BARAKA,gen_ind_BAYES,gen_ind_JOHNSON,gen_ind_MONAHAN,gen_lib_WELD,gen_rep_PENCE,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
CRAIGHEAD_PRECINCT 53,2,37,3,0,2,0,8,168,15,0,0,2,0,0,3,0,0,23,0,0,0,0,4,1,7,0,25,220,63,17
CRAIGHEAD_PRECINCT 6,4,184,5,2,18,0,23,620,88,0,0,23,0,0,2,17,1,119,0,0,2,0,22,2,151,0,128,856,444,111
CRAIGHEAD_PRECINCT 7,3,197,2,2,19,0,30,797,63,0,0,38,1,1,2,32,4,146,0,0,4,0,22,0,129,1,108,1050,448,103
CRAIGHEAD_PRECINCT 8,3,164,0,1,11,0,18,653,46,0,0,20,0,0,4,20,2,131,0,0,1,0,4,0,98,0,114,850,374,66
CRAIGHEAD_PRECINCT 9,2,169,3,2,18,3,23,518,56,0,0,25,0,0,2,23,0,119,0,0,4,0,22,0,106,0,103,738,379,81
CRAWFORD_ALMA 1,5,160,4,5,7,2,28,421,51,2,2,36,2,1,3,15,3,88,0,0,4,0,4,0,49,1,92,632,259,94
CRAWFORD_ALMA 2,5,45,1,3,6,0,5,166,24,1,0,8,0,0,0,7,0,41,0,0,1,0,2,0,17,0,40,231,108,33
CRAWFORD_ALMA 3,5,222,8,5,19,3,32,892,77,4,3,50,1,1,1,31,1,247,0,0,2,0,14,0,142,0,140,1186,578,136
CRAWFORD_ALMA 4,0,111,6,2,10,2,20,507,29,0,1,24,0,0,0,21,0,126,0,0,3,0,9,0,62,0,99,658,320,54
CRAWFORD_BIDVILLE,0,2,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,9,27,17,0
CRAWFORD_CEDAR CREEK,1,34,0,2,3,0,4,131,15,0,0,2,0,0,1,4,0,36,1,0,0,0,5,0,10,0,32,175,89,17
CRAWFORD_CEDARVILLE,7,103,1,6,15,5,23,623,44,0,2,20,0,1,0,28,1,147,0,1,7,1,3,1,61,0,150,783,400,67
CRAWFORD_CHESTER,1,50,1,1,3,1,2,146,20,0,1,9,0,1,0,3,0,56,1,0,2,0,7,0,25,0,44,205,138,31
CRAWFORD_COVE CITY,0,20,0,0,0,0,1,82,7,0,0,10,1,0,0,3,0,17,0,0,1,0,1,0,8,0,20,103,50,18
CRAWFORD_DEAN SPRINGS,3,129,3,5,6,1,21,637,43,1,1,26,0,0,0,22,2,196,0,0,2,0,8,0,78,3,136,805,447,71
CRAWFORD_DORA,1,141,4,4,6,2,23,467,47,0,1,21,0,0,1,5,1,100,0,0,1,0,10,1,62,2,71,648,254,69
CRAWFORD_DYER,2,150,5,2,9,2,12,484,59,0,0,24,1,0,1,19,0,121,0,0,5,0,7,0,61,1,90,666,305,84
CRAWFORD_EAGLE CREST,1,55,1,1,3,0,10,205,12,0,0,4,0,0,1,7,0,67,0,0,1,0,4,0,45,0,30,276,155,16
CRAWFORD_FIGURE FIVE,0,33,0,1,2,1,0,169,8,0,0,2,0,0,1,8,0,26,0,0,0,0,8,0,31,0,53,206,127,10
CRAWFORD_JASPER,1,164,3,6,8,4,16,870,63,1,0,36,1,0,1,38,0,181,1,0,5,0,21,1,125,0,181,1072,554,101
CRAWFORD_KIBLER,1,95,3,5,5,0,12,566,39,0,1,31,0,2,1,32,0,146,0,0,6,0,1,1,60,0,122,687,369,73
CRAWFORD_LANCASTER,3,74,3,1,1,1,13,341,36,0,2,17,0,0,0,5,0,71,0,0,3,0,2,0,48,0,82,437,211,55
