precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_JOHNSON,gen_ind_STEIN,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
BROWARD_12011S004 S004 384,1087,0,3,28,24,748,269,9,160,1,0,0,28,0,0,0,0,24,0,53,0,155,1890,261,438
BROWARD_12011S005 S005 385,656,2,1,16,9,547,140,2,80,3,1,0,18,0,0,1,0,9,1,35,0,89,1231,157,222
BROWARD_12011S006 S006 386,548,1,0,19,13,315,134,2,75,2,1,0,6,0,0,0,0,8,0,18,0,66,896,101,211
BROWARD_12011S007 S007 387,501,1,0,22,7,376,83,4,57,2,1,0,14,0,0,0,0,5,0,28,0,92,907,142,144
BROWARD_12011S008 S008 388,1155,1,2,23,11,618,219,4,73,2,0,0,29,0,0,0,1,14,1,53,0,91,1810,191,296
BROWARD_12011S009 S009 389,555,3,5,15,13,476,130,5,77,3,1,0,28,0,0,0,0,11,0,32,1,81,1067,157,212
BROWARD_12011T001 T001 390,966,0,1,21,27,524,157,6,112,2,4,0,20,0,0,0,1,2,0,42,0,79,1539,150,275
BROWARD_12011T002 T002 391,845,4,0,34,13,394,136,5,101,1,0,0,19,2,0,0,0,4,1,39,0,56,1290,122,242
BROWARD_12011T003 T003 392,1160,1,3,43,15,919,205,3,150,4,3,1,63,0,0,0,0,19,1,76,1,160,2141,328,358
BROWARD_12011T004 T004 393,712,5,0,27,13,336,93,3,85,2,0,0,15,0,0,0,0,7,0,25,0,46,1093,95,181
BROWARD_12011T005 T005 394,403,0,2,8,9,183,74,0,45,0,0,0,15,0,0,0,0,3,1,19,0,20,605,58,119
BROWARD_12011T006 T006 395,277,1,1,8,1,307,78,4,34,4,1,0,25,0,0,0,1,10,1,28,0,60,595,130,116
BROWARD_12011T007 T007 396,614,2,5,14,8,586,119,3,95,3,1,0,49,0,0,0,0,9,0,33,0,108,1229,203,217
BROWARD_12011T008 T008 397,916,2,2,29,15,666,210,7,81,4,0,0,37,0,0,0,0,11,0,80,0,104,1630,236,298
BROWARD_12011T009 T009 398,1769,4,2,35,17,535,269,5,133,2,1,0,26,1,0,0,0,7,0,47,0,70,2362,154,407
BROWARD_12011T010 T010 399,1371,4,2,40,10,1221,367,11,163,3,3,0,73,0,0,1,0,66,1,163,0,276,2648,586,541
BROWARD_12011T011 T011 400,735,3,2,26,9,542,138,3,99,4,2,1,32,1,0,0,0,18,0,61,0,118,1317,237,240
BROWARD_12011T012 T012 401,549,0,0,14,8,332,126,2,57,1,0,0,22,1,0,0,0,11,1,24,1,77,903,138,185
BROWARD_12011T013 T013 402,430,0,0,9,2,313,106,5,41,1,0,0,24,0,0,0,0,1,1,33,0,50,754,110,152
BROWARD_12011T014 T014 403,963,4,0,34,10,606,214,5,92,0,2,1,35,0,0,0,0,21,1,54,0,125,1617,239,311
BROWARD_12011T015 T015 404,946,4,1,32,15,704,201,4,134,6,2,0,37,0,0,0,0,24,0,92,0,151,1702,312,339
BROWARD_12011T016 T016 405,100,2,1,0,4,72,13,0,11,0,0,0,0,0,0,0,0,0,0,5,0,11,179,16,24
BROWARD_12011T017 T017 406,607,0,0,19,7,531,162,6,64,1,0,0,36,0,0,0,0,12,1,68,0,95,1164,213,232
BROWARD_12011T018 T018 407,2328,4,3,84,14,2633,507,19,251,14,2,0,164,0,0,1,0,87,0,368,0,571,5066,1207,777
BROWARD_12011T019 T019 408,616,2,4,28,14,420,93,6,63,3,1,0,14,0,0,0,0,3,0,30,0,64,1084,115,162
BROWARD_12011T020 T020 409,833,1,0,31,11,702,224,3,121,2,1,1,41,0,0,0,0,11,0,111,0,133,1578,300,348
BROWARD_12011T021 T021 410,619,1,0,24,3,702,144,8,86,9,1,0,54,0,0,0,0,28,2,88,0,164,1349,346,238
BROWARD_12011T022 T022 411,285,0,2,8,5,256,62,3,35,2,1,0,14,1,0,0,0,4,0,20,0,48,556,90,100
BROWARD_12011T023 T023 412,853,0,3,38,14,410,165,3,82,2,0,0,17,1,0,1,0,4,0,30,0,71,1318,126,250
BROWARD_12011T024 T024 413,533,1,1,26,9,465,140,7,68,3,0,0,42,0,0,0,0,16,0,78,0,90,1035,229,215
BROWARD_12011T025 T025 414,865,1,0,27,14,596,173,2,106,4,5,0,45,1,0,0,0,6,1,65,0,107,1503,234,281
BROWARD_12011T026 T026 415,937,1,1,26,5,822,233,4,121,3,2,0,44,0,0,0,1,27,0,78,0,158,1792,313,358
BROWARD_12011T027 T027 416,341,0,0,9,5,378,73,4,57,3,2,0,24,0,0,0,0,23,0,45,0,90,733,187,134
BROWARD_12011T028 T028 417,2035,3,3,53,14,1118,592,10,237,7,2,1,66,0,0,0,0,40,0,132,0,214,3226,462,839
BROWARD_12011T029 T029 418,899,3,2,25,13,630,172,8,109,6,0,0,23,0,0,0,1,9,2,55,0,123,1572,219,289
BROWARD_12011T030 T030 419,180,1,0,10,2,248,45,3,31,4,1,1,12,0,0,0,0,6,0,19,0,69,441,112,79
BROWARD_12011U001 U001 420,458,2,0,20,5,394,88,2,88,1,3,0,19,0,0,0,0,8,0,38,0,66,879,135,178
BROWARD_12011U002 U002 421,597,1,3,24,10,546,167,5,76,0,3,0,45,0,0,0,0,21,1,81,0,86,1181,237,248
BROWARD_12011U003 U003 422,1080,0,3,35,19,1059,317,12,202,5,1,0,71,0,0,0,1,31,0,126,1,197,2196,433,531
BROWARD_12011U004 U004 423,1528,7,4,50,21,1433,325,14,210,7,3,0,82,1,0,0,0,47,0,138,0,291,3043,569,549
BROWARD_12011U005 U005 424,795,2,1,25,12,505,228,6,113,1,0,0,32,0,0,1,0,24,1,80,0,101,1340,240,347
BROWARD_12011U006 U006 425,1898,1,0,34,14,973,571,10,262,3,0,0,59,2,0,0,1,49,2,142,0,178,2920,436,843
BROWARD_12011U007 U007 426,819,0,3,23,6,741,183,9,104,4,0,0,41,0,0,0,0,22,0,75,0,136,1592,278,296
BROWARD_12011U008 U008 427,349,1,0,9,3,265,90,2,32,0,0,0,18,0,0,0,0,9,0,57,0,62,627,146,124
BROWARD_12011U009 U009 428,413,1,1,16,1,269,92,2,68,0,0,0,12,0,0,0,0,4,0,40,0,43,701,99,162
BROWARD_12011U010 U010 429,883,1,0,28,4,559,226,2,118,0,1,1,32,0,0,0,0,24,1,72,0,126,1475,257,346
BROWARD_12011U011 U011 430,1309,0,1,32,13,737,230,6,99,4,2,0,42,0,0,0,1,23,1,75,0,129,2092,277,335
BROWARD_12011V001 V001 431,403,0,2,17,5,458,76,2,42,2,0,0,13,0,0,0,0,16,0,33,0,90,885,154,120
BROWARD_12011V002 V002 432,1491,1,4,44,18,1509,348,6,178,3,1,0,56,0,0,0,1,24,3,178,0,330,3067,596,532
BROWARD_12011V003 V003 433,789,2,3,14,10,420,186,6,108,3,1,1,24,0,0,0,1,10,0,31,0,75,1238,146,300
BROWARD_12011V004 V004 434,581,1,0,10,7,270,110,2,51,3,0,0,10,0,0,0,0,2,0,10,0,36,869,61,163
BROWARD_12011V005 V005 435,520,0,0,13,6,414,131,3,76,1,0,1,16,0,0,0,0,23,0,45,1,88,953,175,210
BROWARD_12011V006 V006 436,588,2,0,13,13,288,118,4,121,0,2,0,19,0,0,0,1,5,0,25,0,53,904,105,243
BROWARD_12011V007 V007 437,1030,0,1,28,26,702,273,8,162,3,0,0,35,0,0,0,0,24,1,69,0,160,1787,292,443
BROWARD_12011V008 V008 438,595,1,0,5,2,29,174,3,27,1,1,0,2,0,0,0,0,1,0,2,0,1,632,8,204
BROWARD_12011V009 V009 439,893,0,1,14,22,289,128,2,114,2,0,0,7,0,0,0,0,5,2,21,1,42,1219,80,244
BROWARD_12011V010 V010 440,229,0,0,5,6,93,43,0,36,0,1,0,3,0,0,0,0,0,0,8,0,17,333,29,79
BROWARD_12011V011 V011 441,1094,1,2,4,11,104,299,0,55,0,2,0,2,0,0,0,1,0,0,4,0,11,1216,20,354
BROWARD_12011V012 V012 442,1402,4,1,47,23,494,216,3,138,4,1,0,24,0,0,0,0,5,2,34,0,78,1971,148,357
BROWARD_12011V013 V013 443,545,1,0,13,9,168,75,0,63,0,0,0,6,0,0,0,0,1,0,15,0,28,736,50,138
BROWARD_12011V014 V014 444,632,1,1,23,10,340,122,5,59,2,0,0,24,1,0,0,0,3,3,55,0,52,1007,140,186
BROWARD_12011V015 V015 445,693,4,1,13,4,376,173,6,76,3,2,0,19,0,0,0,0,6,0,39,0,58,1091,127,255
BROWARD_12011V016 V016 446,780,0,1,23,23,450,153,8,104,1,0,0,23,0,0,1,0,12,0,36,0,82,1277,155,265
BROWARD_12011V017 V017 447,347,0,1,4,5,86,67,2,36,0,0,0,7,0,0,0,1,2,0,7,0,11,443,28,105
BROWARD_12011V018 V018 448,1948,2,3,44,28,426,443,3,199,2,2,0,16,0,0,0,0,6,0,33,1,74,2451,134,645
BROWARD_12011V019 V019 449,800,0,2,15,4,112,204,1,43,0,0,0,2,0,0,0,0,4,0,5,0,12,933,23,248
BROWARD_12011V020 V020 450,533,0,0,12,10,186,108,0,52,0,0,0,7,0,0,0,0,6,0,12,0,16,741,41,160
BROWARD_12011V021 V021 451,727,2,3,30,7,527,203,9,102,5,3,0,43,0,0,0,0,17,0,58,2,107,1296,235,314
BROWARD_12011V022 V022 452,703,2,2,35,19,488,159,8,120,1,1,0,25,0,0,0,0,14,0,57,0,92,1249,190,287
BROWARD_12011V023 V023 453,370,1,1,6,4,236,94,2,65,1,0,1,18,0,0,0,0,11,0,24,0,39,618,94,161
BROWARD_12011V024 V024 454,1050,1,0,23,3,485,288,6,182,2,0,0,16,0,0,0,0,14,0,56,0,91,1562,179,476
BROWARD_12011V025 V025 455,500,3,0,8,7,511,190,7,83,0,0,0,19,0,0,0,0,15,0,75,0,83,1029,192,280
BROWARD_12011V026 V026 456,537,2,1,14,11,294,94,2,53,1,0,0,17,0,0,0,1,4,0,17,0,33,859,73,149
BROWARD_12011V027 V027 457,320,0,0,15,6,252,86,2,42,2,2,0,17,0,0,0,0,10,1,21,0,42,593,95,130
BROWARD_12011V028 V028 458,444,0,0,14,1,324,106,1,63,0,0,1,25,0,0,0,0,13,0,44,0,56,783,139,170
BROWARD_12011V029 V029 459,221,1,0,10,1,186,69,1,32,0,0,0,14,0,0,0,0,7,0,23,0,40,419,84,102
BROWARD_12011V030 V030 460,668,2,3,16,2,499,176,10,99,3,0,0,28,0,0,0,0,13,0,75,0,97,1190,216,285
BROWARD_12011V031 V031 461,544,0,1,17,9,411,163,6,76,1,1,0,25,0,0,0,0,13,1,59,0,68,982,168,245
BROWARD_12011V032 V032 462,938,3,2,22,15,373,185,2,104,1,1,0,21,0,0,0,0,7,0,56,0,76,1353,162,291
BROWARD_12011V033 V033 463,659,1,0,9,6,363,172,4,69,0,1,0,14,0,0,0,0,9,0,50,0,76,1038,150,245
BROWARD_12011V034 V034 464,1065,1,0,12,7,478,306,3,88,2,2,0,20,0,0,0,0,7,0,44,0,75,1563,150,397
BROWARD_12011V035 V035 465,282,0,1,4,1,131,79,2,33,0,0,0,9,0,0,0,0,0,0,14,0,20,419,43,114
BROWARD_12011V036 V036 466,381,0,0,1,7,108,108,2,22,0,0,0,5,0,0,0,0,2,0,9,0,17,497,33,132
BROWARD_12011V037 V037 467,531,0,0,10,1,166,109,2,35,0,2,0,9,0,0,0,0,5,0,14,0,29,708,59,146
BROWARD_12011V038 V038 468,762,0,0,9,15,189,106,0,47,1,0,0,8,0,0,0,0,2,0,18,0,21,975,50,153
BROWARD_12011V039 V039 469,568,2,1,7,8,312,86,8,57,3,0,0,9,1,0,0,0,5,0,28,0,42,898,88,151
BROWARD_12011V040 V040 470,642,5,1,32,6,381,106,4,67,0,0,0,21,0,0,0,0,6,0,34,0,50,1067,111,177
BROWARD_12011V041 V041 471,581,2,0,9,4,146,74,1,26,3,0,0,8,0,0,0,0,2,0,10,0,18,742,41,101
BROWARD_12011V042 V042 472,1169,2,4,17,9,343,198,5,76,3,3,1,23,0,0,0,0,2,0,37,0,40,1544,109,279
BROWARD_12011V043 V043 473,630,2,1,16,8,228,106,1,42,3,0,0,17,0,0,0,0,2,0,19,0,21,885,62,149
BROWARD_12011V044 V044 474,929,1,3,22,9,327,167,1,72,3,1,0,9,0,0,0,0,6,0,56,0,42,1291,117,240
BROWARD_12011V045 V045 475,603,0,0,19,6,314,87,1,47,3,0,0,20,0,0,0,0,3,0,25,0,53,942,104,135
BROWARD_12011V046 V046 476,284,1,0,9,7,153,57,1,27,0,0,0,7,0,0,0,1,4,0,25,0,12,454,49,85
BROWARD_12011V047 V047 477,576,1,1,9,4,403,176,1,76,2,1,0,17,0,0,0,0,15,0,43,0,85,994,163,253
BROWARD_12011V048 V048 478,511,1,1,14,7,245,86,2,41,3,1,0,10,0,0,0,0,5,0,18,0,29,779,66,129
BROWARD_12011V049 V049 479,544,2,1,22,7,275,94,2,46,2,0,0,16,0,0,0,0,1,1,39,0,27,851,86,142
BROWARD_12011V050 V050 480,775,2,2,17,13,377,130,2,83,2,0,0,19,0,0,0,0,4,1,27,0,45,1186,98,215
BROWARD_12011V051 V051 481,637,1,1,16,2,398,213,4,66,5,3,0,21,0,0,0,0,16,0,37,1,71,1055,154,283
BROWARD_12011V052 V052 482,849,0,3,16,8,367,166,3,90,2,1,0,20,0,0,0,0,8,0,28,0,60,1243,119,259
BROWARD_12011V053 V053 483,924,0,0,18,4,702,346,8,121,3,2,0,31,1,0,0,0,17,0,79,0,137,1648,270,475
BROWARD_12011V054 V054 484,491,0,0,15,3,202,89,4,41,4,0,0,4,1,0,0,0,1,0,27,0,31,711,68,134
BROWARD_12011V055 V055 485,645,0,2,18,8,757,167,2,70,2,0,0,24,1,0,0,0,20,0,91,0,127,1430,265,239
BROWARD_12011V056 V056 486,432,1,0,6,6,163,72,2,48,0,0,0,4,0,0,0,0,0,0,18,0,32,608,54,122
BROWARD_12011V057 V057 487,1343,0,2,35,17,913,331,9,176,1,0,3,28,0,1,1,0,20,2,65,0,184,2310,305,516
BROWARD_12011V058 V058 488,349,0,0,15,7,218,89,4,59,2,0,0,9,0,0,0,0,7,1,30,0,60,589,109,152
BROWARD_12011W001 W001 489,2390,2,2,17,17,197,566,2,140,0,0,0,12,0,0,1,0,4,0,17,0,24,2625,58,708
BROWARD_12011W002 W002 490,1400,2,0,14,13,192,314,3,73,1,3,0,17,1,0,0,0,1,0,15,0,26,1621,64,390
BROWARD_12011W003 W003 491,793,6,0,7,7,128,223,2,45,1,0,0,6,0,0,0,0,0,0,15,0,13,941,35,270
BROWARD_12011W004 W004 492,1037,0,0,9,13,116,252,4,63,0,0,0,9,0,0,0,0,2,0,7,0,13,1175,31,319
BROWARD_12011W005 W005 493,1050,3,1,7,6,73,296,1,54,0,1,0,4,0,0,0,0,4,0,6,0,13,1140,28,351
BROWARD_12011W006 W006 494,795,3,2,13,5,133,193,1,64,1,0,0,8,0,0,0,0,1,1,24,0,29,951,64,258
BROWARD_12011W007 W007 495,1225,0,0,13,5,177,290,5,84,2,0,0,5,0,0,0,0,1,0,19,0,18,1420,45,379
BROWARD_12011W008 W008 496,2113,4,2,20,15,160,492,1,124,1,2,0,8,0,0,0,1,3,0,17,0,13,2314,45,617
BROWARD_12011W009 W009 497,1188,2,1,27,4,536,280,5,93,5,4,0,41,0,0,0,0,17,2,143,0,71,1758,283,378
BROWARD_12011W010 W010 498,742,1,2,7,5,109,138,0,43,0,0,0,5,0,0,0,0,3,0,9,0,12,866,29,181
BROWARD_12011W011 W011 499,1323,1,1,8,7,214,289,2,72,0,0,0,14,0,0,1,0,1,0,26,0,28,1554,70,363
BROWARD_12011W012 W012 500,1893,1,1,20,11,199,450,1,122,0,2,0,15,0,0,0,0,5,0,26,0,17,2125,65,573
BROWARD_12011W013 W013 501,2728,2,1,19,24,336,861,5,164,2,3,0,30,0,0,0,1,9,1,34,0,41,3110,121,1030
BROWARD_12011W014 W014 502,2307,3,2,33,19,906,420,1,150,1,0,0,69,1,0,0,0,13,1,264,1,94,3270,444,571
BROWARD_12011W015 W015 503,599,0,1,16,6,366,113,0,37,3,1,0,31,0,0,0,0,12,0,83,0,64,988,194,150
BROWARD_12011W016 W016 504,3433,4,3,63,20,1586,781,6,233,6,6,0,100,0,0,0,0,37,1,375,0,252,5109,777,1020
BROWARD_12011W017 W017 505,2240,6,2,45,14,702,431,1,102,6,2,0,42,0,0,0,0,13,0,140,0,77,3009,280,534
BROWARD_12011W018 W018 506,1548,2,5,21,7,496,301,1,108,4,0,0,26,0,0,0,0,9,0,125,1,57,2079,222,410
BROWARD_12011W019 W019 507,2148,3,2,25,15,597,458,2,132,3,2,1,35,1,0,0,0,8,0,121,0,64,2790,235,592
BROWARD_12011W020 W020 508,2212,4,4,32,15,627,400,0,110,2,2,0,29,0,0,0,0,3,0,115,0,43,2894,194,510
BROWARD_12011W021 W021 509,2041,1,6,38,16,845,404,4,95,2,3,0,50,0,0,0,0,6,0,228,0,105,2947,394,503
BROWARD_12011W022 W022 510,1840,4,1,25,17,545,349,4,142,3,1,2,25,0,0,0,0,11,0,105,0,72,2432,219,495
BROWARD_12011W023 W023 511,3942,10,5,67,34,735,869,9,248,1,4,0,43,0,0,0,0,12,0,107,0,70,4793,237,1126
BROWARD_12011W024 W024 512,1781,1,3,11,13,270,390,4,90,3,2,0,24,0,0,0,1,2,0,34,0,35,2079,101,484
BROWARD_12011W025 W025 513,2375,2,3,18,17,191,599,1,145,2,3,1,8,0,0,0,0,4,0,15,0,18,2606,51,745
BROWARD_12011X001 X001 514,911,1,0,18,9,358,194,4,86,3,4,0,27,0,0,0,0,2,0,41,0,52,1297,129,284
BROWARD_12011X002 X002 515,709,2,0,12,7,277,148,2,70,0,0,0,13,0,0,0,0,7,0,27,0,35,1007,82,220
BROWARD_12011X003 X003 516,910,1,1,12,6,284,184,5,69,1,1,0,16,0,0,0,1,3,0,25,0,36,1214,83,258
BROWARD_12011X004 X004 517,605,3,2,8,14,338,129,5,49,3,0,0,22,0,0,0,0,4,0,39,1,43,970,112,183
BROWARD_12011X005 X005 518,641,1,0,18,7,579,204,13,106,5,2,0,42,0,0,0,0,22,0,63,0,124,1246,258,323
BROWARD_12011X006 X006 519,1256,3,1,15,8,592,279,3,124,2,1,0,45,0,0,0,0,11,0,70,0,88,1875,217,406
BROWARD_12011X007 X007 520,963,3,6,26,15,635,179,5,104,3,3,0,36,0,0,0,0,10,1,85,0,92,1648,230,288
BROWARD_12011X008 X008 521,686,1,0,4,2,289,152,1,64,2,0,0,17,0,0,0,0,6,0,42,0,43,982,110,217
BROWARD_12011X009 X009 522,1718,2,1,16,10,448,571,9,119,4,0,0,19,0,0,0,1,20,0,63,0,82,2195,189,699
BROWARD_12011X010 X010 523,1230,3,0,37,20,887,351,5,174,4,3,2,82,1,0,0,0,35,0,143,0,160,2177,430,530
BROWARD_12011X011 X011 524,312,0,0,3,3,221,56,4,22,0,0,0,10,0,0,0,0,2,0,43,0,30,539,85,82
BROWARD_12011X012 X012 525,868,1,1,8,7,261,342,3,67,3,1,0,16,1,0,0,0,6,0,50,0,45,1146,122,412
BROWARD_12011X013 X013 526,1298,3,1,22,12,605,321,3,127,6,3,0,38,1,0,0,0,7,0,101,0,108,1941,264,451
BROWARD_12011X014 X014 527,1234,1,2,24,14,393,243,0,82,2,0,0,31,0,0,0,0,7,0,72,0,67,1668,179,325
BROWARD_12011X015 X015 528,423,0,0,11,3,376,135,9,47,1,1,0,35,0,0,0,1,15,0,69,1,66,813,189,191
BROWARD_12011X016 X016 529,794,6,1,17,10,483,151,4,96,3,1,0,41,0,0,0,0,9,0,67,0,91,1311,212,251
BROWARD_12011X017 X017 530,1242,0,1,41,7,542,301,5,127,4,1,0,38,1,0,0,2,20,1,85,1,83,1833,236,433
BROWARD_12011X018 X018 531,624,5,1,17,6,227,125,4,50,1,0,0,14,0,0,0,0,7,0,45,0,28,880,95,179
BROWARD_12011X019 X019 532,1128,2,3,14,8,607,398,6,78,5,1,0,27,0,0,0,1,9,0,184,0,100,1762,327,482
BROWARD_12011X020 X020 533,1540,1,2,20,7,897,587,13,129,6,0,1,42,1,0,0,0,9,0,271,2,150,2467,482,729
BROWARD_12011X021 X021 534,2309,3,3,33,30,482,401,1,170,2,3,0,26,0,1,0,0,10,0,55,0,56,2860,153,572
BROWARD_12011X022 X022 535,1355,0,1,14,13,265,385,4,91,2,3,0,9,0,0,2,0,2,1,52,0,36,1648,107,480
BROWARD_12011X023 X023 536,1198,1,2,15,4,288,217,0,96,1,0,0,9,0,0,0,0,1,1,30,1,47,1508,90,313
BROWARD_12011X024 X024 537,1825,2,2,40,10,1008,388,5,103,5,2,0,63,1,0,0,1,30,0,165,0,185,2887,452,496
BROWARD_12011X025 X025 538,380,0,0,2,2,210,168,4,23,1,0,0,16,0,0,0,0,7,0,60,0,27,594,111,195
BROWARD_12011X026 X026 539,782,1,0,19,7,344,161,1,87,3,1,0,16,1,0,0,1,8,0,57,0,60,1153,147,249
BROWARD_12011X027 X027 540,1320,5,5,33,12,606,290,6,112,2,1,2,35,1,0,0,0,8,1,120,0,99,1981,269,408
BROWARD_12011X028 X028 541,710,2,3,27,7,608,173,6,69,7,0,0,45,1,0,0,0,11,1,110,0,113,1357,288,248
BROWARD_12011X029 X029 542,1594,7,2,46,20,1096,395,7,141,3,0,0,92,0,0,0,0,37,3,247,0,183,2765,565,543
BROWARD_12011X030 X030 543,611,2,0,11,7,443,150,3,61,3,1,0,39,0,0,0,0,16,1,67,0,89,1074,216,214
BROWARD_12011X031 X031 544,1751,3,3,22,9,923,649,12,122,8,0,0,27,0,0,0,2,7,4,254,0,129,2711,431,783
BROWARD_12011X032 X032 545,583,0,0,15,4,469,109,5,53,1,0,0,39,0,0,0,0,14,0,104,0,94,1071,252,167
BROWARD_12011X033 X033 546,1380,4,3,41,12,753,266,8,91,2,3,1,57,0,0,0,0,17,1,157,0,97,2193,335,365
BROWARD_12011X034 X034 547,668,3,2,21,6,455,140,7,79,1,0,2,45,0,0,1,2,14,0,87,1,83,1155,236,226
BROWARD_12011X035 X035 548,1263,1,4,32,7,518,292,7,102,1,0,0,32,0,0,0,0,14,0,91,0,91,1825,229,401
BROWARD_12011X036 X036 549,1185,3,0,36,12,432,234,5,107,2,0,0,33,0,0,0,0,7,1,87,0,55,1668,185,346
BROWARD_12011X037 X037 550,230,0,0,9,0,230,49,0,25,0,2,0,16,0,0,0,0,5,0,56,0,42,469,121,74
BROWARD_12011X038 X038 551,1787,3,2,41,10,1089,382,6,148,3,1,1,72,1,0,0,0,21,0,187,0,191,2932,477,536
BROWARD_12011X039 X039 552,554,2,0,14,6,297,144,1,69,2,1,0,30,0,0,0,0,9,0,66,0,50,873,158,214
BROWARD_12011X040 X040 553,1662,2,0,41,19,1008,407,5,136,2,1,0,67,1,0,1,1,28,1,225,0,167,2732,494,548
BROWARD_12011X041 X041 554,1075,3,1,24,13,544,234,0,83,5,1,0,30,0,0,0,2,5,0,124,0,95,1660,262,317
BROWARD_12011X042 X042 555,1120,1,1,30,9,770,197,0,82,4,0,1,53,0,0,0,0,14,0,175,0,96,1931,343,279
BROWARD_12011X043 X043 556,1549,4,0,44,13,777,324,7,119,1,2,0,48,1,0,0,0,27,0,151,0,123,2387,353,450
BROWARD_12011X044 X044 557,1146,4,2,22,5,629,237,2,71,4,0,0,40,0,1,0,0,5,0,109,0,99,1808,258,310
BROWARD_12011X045 X045 558,1017,0,1,14,8,281,199,3,78,1,1,0,20,0,0,0,0,5,0,43,0,38,1321,108,280
BROWARD_12011X046 X046 559,877,1,1,13,8,269,145,1,59,1,1,0,12,0,0,0,0,5,0,46,0,40,1169,105,205
BROWARD_12011X047 X047 560,491,1,0,11,4,85,67,1,26,0,0,0,4,0,0,0,0,2,0,12,0,9,592,27,94
BROWARD_12011X048 X048 561,532,1,1,9,8,189,116,1,40,1,1,0,13,0,0,0,0,4,0,25,0,19,740,63,157
BROWARD_12011X049 X049 562,1057,1,2,26,6,454,291,6,91,2,1,0,26,0,0,0,0,8,0,59,0,81,1546,177,388
BROWARD_12011X050 X050 563,959,1,0,13,7,252,226,0,70,0,1,0,23,0,0,0,0,7,0,46,0,36,1232,113,296
BROWARD_12011Y001 Y001 564,408,0,0,4,2,536,88,2,40,1,0,0,8,0,0,0,0,6,1,75,0,117,950,208,130
BROWARD_12011Y002 Y002 565,842,1,0,22,15,1033,217,7,86,2,1,0,32,0,0,0,0,6,1,120,0,193,1913,355,310
BROWARD_12011Y003 Y003 566,744,2,1,20,5,551,179,5,84,1,2,0,11,0,0,0,0,11,0,35,0,114,1323,174,268
BROWARD_12011Y004 Y004 567,1135,1,5,21,10,787,277,6,96,4,0,1,21,0,0,0,0,8,0,59,0,133,1959,226,379
BROWARD_12011Y005 Y005 568,866,0,2,18,10,700,198,4,96,3,2,0,21,0,0,0,2,11,0,65,0,121,1596,225,298
BROWARD_12011Y006 Y006 569,1774,3,1,40,23,1013,307,5,148,3,0,2,35,0,0,0,0,10,1,71,0,155,2854,277,460
BROWARD_12011Y007 Y007 570,1704,5,1,20,16,494,313,10,80,2,0,0,37,1,0,0,0,6,1,47,0,74,2240,168,403
BROWARD_12011Y008 Y008 571,1824,0,1,18,20,131,507,0,73,2,0,0,6,0,0,0,1,0,0,8,0,13,1994,30,580
BROWARD_12011Z001 Z001 572,949,1,2,1,2,26,297,0,48,1,0,0,2,0,1,0,0,0,0,3,0,3,981,10,345
BROWARD_12011Z002 Z002 573,1687,1,3,7,3,48,535,2,83,2,1,1,2,0,0,0,0,0,0,3,0,4,1749,13,620
BROWARD_12011Z003 Z003 574,801,2,3,21,7,479,118,4,53,2,2,0,17,0,0,0,0,5,0,44,0,86,1313,156,175
BROWARD_12011Z004 Z004 575,140,0,1,3,6,79,26,0,15,1,0,0,1,0,0,0,0,3,0,6,0,8,229,19,41
BROWARD_12011Z005 Z005 576,323,1,0,4,4,107,55,0,27,0,0,0,2,0,0,0,1,1,0,10,0,16,439,30,82
BROWARD_12011Z073 Z073 577,316,0,0,17,5,239,52,2,27,2,2,0,23,0,0,0,0,2,1,16,0,50,577,96,81
"CALHOUN_12013101 101,202,401,501 NEAL CIVIC CENTER",174,3,1,20,2,609,55,34,66,1,0,0,42,0,0,0,1,6,0,26,0,81,809,157,155
CALHOUN_12013102 102 WESTSIDE VFD,110,1,2,12,1,408,35,15,54,2,4,0,31,0,0,0,0,4,0,13,0,46,534,100,104
CALHOUN_12013201 201 ALTHA COMM CENTER,93,2,0,9,5,666,35,26,78,0,1,0,33,1,0,0,0,0,1,25,0,66,775,127,139
"CALHOUN_12013202 101,202,401,501 NEAL CIVIC CENTER",156,1,2,23,2,580,54,32,66,2,2,0,57,0,0,0,2,5,0,33,0,45,764,146,152
CALHOUN_12013301 301 SHELTON PARK LIB,121,4,4,17,7,826,45,40,84,7,7,0,69,0,0,0,1,2,0,37,0,111,979,234,169
"CALHOUN_12013302 302,502 CARR-CLARK VFD",44,4,0,13,1,421,24,18,53,0,1,0,30,0,0,0,0,4,0,19,0,52,483,106,95
"CALHOUN_12013401 101,202,401,501 NEAL CIVIC CENTER",339,1,1,4,5,182,137,4,33,3,0,0,7,0,0,0,1,1,0,4,1,17,532,34,174
"CALHOUN_12013402 402,503 KINARD LIBRARY",5,1,0,1,0,46,0,7,8,1,1,0,2,0,0,0,0,0,0,2,0,6,53,12,15
