precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_JOHNSON,gen_ind_STEIN,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
BROWARD_12011L001 L001 195,2756,4,1,31,19,656,751,2,226,3,1,0,37,0,0,0,0,18,0,63,0,103,3467,225,979
BROWARD_12011L002 L002 196,906,0,0,3,1,36,295,0,41,1,1,0,1,0,0,0,0,0,0,3,0,6,946,12,336
BROWARD_12011L003 L003 197,781,2,1,2,3,62,305,1,33,0,0,0,5,0,0,0,0,0,0,4,0,11,851,20,339
BROWARD_12011L004 L004 198,3323,4,1,13,10,96,677,2,132,0,1,0,1,0,0,0,0,1,0,2,0,10,3447,15,811
BROWARD_12011L005 L005 199,1066,0,0,2,5,41,279,1,49,0,0,0,0,0,0,0,0,1,0,3,0,8,1114,12,329
BROWARD_12011L006 L006 200,2028,3,1,10,9,107,597,0,87,0,0,0,7,0,0,0,0,3,1,11,0,18,2158,40,684
BROWARD_12011L007 L007 201,703,2,1,6,4,99,236,0,46,0,1,0,8,0,0,0,0,6,0,11,0,15,815,41,282
BROWARD_12011L008 L008 202,1461,1,1,6,3,59,491,2,68,2,2,0,2,0,0,0,0,0,0,6,0,8,1531,20,561
BROWARD_12011L009 L009 203,1275,4,1,15,10,211,403,3,82,0,0,0,15,0,0,0,0,10,0,16,0,37,1516,78,488
BROWARD_12011L010 L010 204,2741,1,5,32,21,476,809,5,148,3,5,0,18,0,0,0,0,7,1,42,0,80,3276,156,962
BROWARD_12011L011 L011 205,894,0,0,5,8,74,214,0,47,0,0,0,2,0,0,0,0,0,0,3,0,10,981,15,261
BROWARD_12011L012 L012 206,876,1,1,4,8,35,241,0,22,0,1,0,1,0,0,2,0,3,0,3,0,4,925,14,263
BROWARD_12011L013 L013 207,2204,3,0,22,18,389,697,5,156,2,2,0,32,0,0,0,0,10,1,38,0,91,2636,176,858
BROWARD_12011L014 L014 208,879,0,0,1,2,12,317,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,894,1,357
BROWARD_12011L015 L015 209,651,0,0,2,2,7,284,1,38,0,0,0,0,1,0,0,0,0,0,1,0,0,662,2,323
BROWARD_12011L016 L016 210,1090,1,0,3,6,31,410,0,52,0,1,0,1,0,0,0,0,4,0,1,0,1,1131,8,462
BROWARD_12011L017 L017 211,684,0,1,1,2,12,266,2,33,0,0,0,1,0,0,0,0,0,0,2,0,2,700,5,301
BROWARD_12011L018 L018 212,1066,1,0,3,0,26,389,0,40,0,0,0,0,0,0,0,0,3,0,1,0,0,1096,4,429
