county,precinct,office,district,candidate,party,votes
Richmond,"=""6/61""",President,NYC,Absentee / Military,,75
Richmond,"=""6/61""",President,NYC,Federal,,6
Richmond,"=""6/61""",President,NYC,Special Presidential,,0
Richmond,"=""6/61""",President,NYC,Affidavit,,25
Richmond,"=""6/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,446
Richmond,"=""6/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,143
Richmond,"=""6/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,17
Richmond,"=""6/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
Richmond,"=""6/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,9
Richmond,"=""6/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
Richmond,"=""6/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Richmond,"=""6/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Richmond,"=""6/61""",President,NYC,Scattered,,1
Richmond,"=""7/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""7/61""",President,NYC,Absentee / Military,,17
Richmond,"=""7/61""",President,NYC,Federal,,1
Richmond,"=""7/61""",President,NYC,Special Presidential,,0
Richmond,"=""7/61""",President,NYC,Affidavit,,21
Richmond,"=""7/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,519
Richmond,"=""7/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,32
Richmond,"=""7/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
Richmond,"=""7/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Richmond,"=""7/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,6
Richmond,"=""7/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Richmond,"=""7/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Richmond,"=""7/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Richmond,"=""8/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""8/61""",President,NYC,Absentee / Military,,12
Richmond,"=""8/61""",President,NYC,Federal,,2
Richmond,"=""8/61""",President,NYC,Special Presidential,,0
Richmond,"=""8/61""",President,NYC,Affidavit,,30
Richmond,"=""8/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,551
Richmond,"=""8/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,30
Richmond,"=""8/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,6
Richmond,"=""8/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
Richmond,"=""8/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,14
Richmond,"=""8/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
Richmond,"=""8/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Richmond,"=""8/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Richmond,"=""8/61""",President,NYC,Scattered,,6
Richmond,"=""9/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""9/61""",President,NYC,Absentee / Military,,28
Richmond,"=""9/61""",President,NYC,Federal,,3
Richmond,"=""9/61""",President,NYC,Special Presidential,,0
Richmond,"=""9/61""",President,NYC,Affidavit,,3
Richmond,"=""9/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,464
Richmond,"=""9/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,105
Richmond,"=""9/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,16
Richmond,"=""9/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,13
Richmond,"=""9/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,18
Richmond,"=""9/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
Richmond,"=""9/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Richmond,"=""9/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,5
Richmond,"=""9/61""",President,NYC,Scattered,,5
Richmond,"=""10/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""10/61""",President,NYC,Absentee / Military,,32
Richmond,"=""10/61""",President,NYC,Federal,,2
Richmond,"=""10/61""",President,NYC,Special Presidential,,0
Richmond,"=""10/61""",President,NYC,Affidavit,,22
Richmond,"=""10/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,532
Richmond,"=""10/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,115
Richmond,"=""10/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,17
Richmond,"=""10/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,21
Richmond,"=""10/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,16
Richmond,"=""10/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
Richmond,"=""10/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Richmond,"=""10/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Richmond,"=""10/61""",President,NYC,Scattered,,4
Richmond,"=""11/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""11/61""",President,NYC,Absentee / Military,,50
Richmond,"=""11/61""",President,NYC,Federal,,4
Richmond,"=""11/61""",President,NYC,Special Presidential,,0
Richmond,"=""11/61""",President,NYC,Affidavit,,8
Richmond,"=""11/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,340
Richmond,"=""11/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,110
Richmond,"=""11/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,20
Richmond,"=""11/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,11
Richmond,"=""11/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,13
Richmond,"=""11/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
Richmond,"=""11/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Richmond,"=""11/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Richmond,"=""11/61""",President,NYC,Scattered,,3
Richmond,"=""12/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""12/61""",President,NYC,Absentee / Military,,26
Richmond,"=""12/61""",President,NYC,Federal,,1
Richmond,"=""12/61""",President,NYC,Special Presidential,,0
Richmond,"=""12/61""",President,NYC,Affidavit,,8
Richmond,"=""12/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,457
Richmond,"=""12/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,300
Richmond,"=""12/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,45
Richmond,"=""12/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,17
Richmond,"=""12/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,15
Richmond,"=""12/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,11
Richmond,"=""12/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Richmond,"=""12/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,7
Richmond,"=""12/61""",President,NYC,Scattered,,6
Richmond,"=""13/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""13/61""",President,NYC,Absentee / Military,,26
Richmond,"=""13/61""",President,NYC,Federal,,1
Richmond,"=""13/61""",President,NYC,Special Presidential,,0
Richmond,"=""13/61""",President,NYC,Affidavit,,26
Richmond,"=""13/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,397
Richmond,"=""13/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,120
Richmond,"=""13/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,17
Richmond,"=""13/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,11
Richmond,"=""13/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,16
Richmond,"=""13/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Richmond,"=""13/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Richmond,"=""13/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Richmond,"=""13/61""",President,NYC,Scattered,,2
Richmond,"=""14/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""14/61""",President,NYC,Absentee / Military,,27
Richmond,"=""14/61""",President,NYC,Federal,,2
Richmond,"=""14/61""",President,NYC,Special Presidential,,0
Richmond,"=""14/61""",President,NYC,Affidavit,,14
Richmond,"=""14/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,323
Richmond,"=""14/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,224
Richmond,"=""14/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,29
Richmond,"=""14/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
Richmond,"=""14/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,17
Richmond,"=""14/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
