,contest,choice,precinct_id,vote,early_votes,polling_place_votes,late_early_votes,provisional_votes,party_name,contest_name,choice_name,precinct_designation,precinct,precinct_bs,votes_allowed,referendum_flag
55,0,0,6,996,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,MOUNTAINBROOK VILLAGE,0,,
56,0,0,6,611,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,HIDDEN VALLEY,0,,
57,0,0,6,1875,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,SAN TAN PARK,0,,
58,0,0,6,691,0,0,0,0,,Registered Voters,REGISTERED VOTERS,6,BELLA VISTA,0,,
59,0,0,7,1708,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,COPPER BASIN,0,,
60,0,0,7,1151,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,SCHNEPF,0,,
61,0,0,7,547,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,PERALTA,0,,
62,0,0,7,776,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,SANTA ROSA,0,,
63,0,0,7,1179,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,EL DORADO,0,,
64,0,0,7,1245,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,WALKER BUTTE,0,,
65,0,0,7,1316,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,PECAN CREEK NORTH,0,,
66,0,0,7,228,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,AK CHIN COMMUNITY,0,,
67,0,0,7,1232,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,MARICOPA MEADOWS,0,,
68,0,0,7,1353,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,MARICOPA FIESTA,0,,
69,0,0,8,1997,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,PROVINCE,0,,
70,0,0,8,1230,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,IRONWOOD COMMON,0,,
71,0,0,8,1651,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,COYOTE RANCH,0,,
72,0,0,8,1177,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,SAN TAN HEIGHTS,0,,
73,0,0,8,1417,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,CIRCLE CROSS RANCH,0,,
74,0,0,8,982,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,JOHNSON RANCH EAST,0,,
75,0,0,8,2351,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,IRONWOOD CROSSING,0,,
76,0,0,8,1418,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,QUAIL HOLLOW,0,,
77,0,0,9,1067,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,SENITA,0,,
78,0,0,9,1048,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,SKYLINE RANCH,0,,
79,0,0,9,760,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,SAN TAN RANCHES,0,,
80,0,0,9,965,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,LINKS ESTATES,0,,
81,0,0,9,1082,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,MISSION VALLEY,0,,
82,0,0,10,919,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,0 DESERT CEDARS,0,,
83,0,0,10,1177,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,1 ALTERRA NORTH,0,,
84,0,0,10,1225,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,2 MARICOPA WELLS,0,,
85,0,0,10,115,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,4 PICACHO SOUTH,0,,
86,0,0,10,61,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,5 TOLTEC SOUTHWEST,0,,
87,0,0,0,323,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,KEARNY,0,,
88,0,0,0,100,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,DUDLEYVILLE,0,,
89,0,0,0,406,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,SAN MANUEL,0,,
90,0,0,0,104,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,MAMMOTH,0,,
91,0,0,0,942,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,ORACLE,0,,
92,0,0,0,3773,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,SADDLEBROOKE,0,,
93,0,0,0,1062,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,ARIZONA CITY,0,,
94,0,0,1,640,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,TOLTEC SOUTH,0,,
95,0,0,1,95,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,PICACHO,0,,
96,0,0,1,180,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,ELOY,0,,
97,0,0,1,606,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,TOLTEC,0,,
98,0,0,1,680,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,RED ROCK,0,,
99,0,0,1,240,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,COOLIDGE NE,0,,
100,0,0,1,690,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,COOLIDGE NW,0,,
101,0,0,1,491,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,COOLIDGE SOUTH,0,,
102,0,0,2,316,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,CENTRAL ARIZONA COLLEGE,0,,
103,0,0,2,244,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,ELEVEN MILE CORNER,0,,
104,0,0,2,756,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,FLORENCE NORTH,0,,
105,0,0,2,485,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,CACTUS FOREST,0,,
106,0,0,2,938,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,JOHNSON RANCH,0,,
107,0,0,2,1406,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,POSTON BUTTE,0,,
108,0,0,2,1100,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,QUEEN CREEK,0,,
109,0,0,2,58,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,SACATON,0,,
110,0,0,3,617,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,MARICOPA,0,,
111,0,0,3,115,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,STANFIELD,0,,
112,0,0,3,894,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE NORTH,0,,
113,0,0,3,751,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE S CEN,0,,
114,0,0,3,539,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE NE,0,,
115,0,0,3,789,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE NW,0,,
116,0,0,3,460,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE SW,0,,
117,0,0,3,769,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE RANCHO GRANDE,0,,
118,0,0,4,646,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT SUPERSTITION,0,,
119,0,0,4,639,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,CASA GRANDE INTERCHANGE,0,,
120,0,0,4,449,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT NW,0,,
121,0,0,4,650,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT SW,0,,
122,0,0,4,803,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT SE,0,,
123,0,0,4,728,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT NE,0,,
124,0,0,4,688,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT EAST,0,,
125,0,0,4,533,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT CENTRAL,0,,
126,0,0,4,1165,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,GOLD CANYON,0,,
127,0,0,4,186,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,QUEEN VALLEY,0,,
