county,precinct,office,district,candidate,party,votes
Bronx,006/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
Bronx,006/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Bronx,006/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,006/77,President,NYC,Scattered,,3
Bronx,007/77,President,NYC,Manually Counted Emergency,,0
Bronx,007/77,President,NYC,Absentee / Military,,14
Bronx,007/77,President,NYC,Federal,,2
Bronx,007/77,President,NYC,Special Presidential,,0
Bronx,007/77,President,NYC,Affidavit,,77
Bronx,007/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,669
Bronx,007/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,27
Bronx,007/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Bronx,007/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Bronx,007/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Bronx,007/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Bronx,007/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Bronx,007/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Bronx,007/77,President,NYC,Scattered,,3
Bronx,008/77,President,NYC,Manually Counted Emergency,,0
Bronx,008/77,President,NYC,Absentee / Military,,11
Bronx,008/77,President,NYC,Federal,,0
Bronx,008/77,President,NYC,Special Presidential,,0
Bronx,008/77,President,NYC,Affidavit,,70
Bronx,008/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,696
Bronx,008/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,21
Bronx,008/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Bronx,008/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Bronx,008/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Bronx,008/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,008/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Bronx,008/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,009/77,President,NYC,Manually Counted Emergency,,0
Bronx,009/77,President,NYC,Absentee / Military,,18
Bronx,009/77,President,NYC,Federal,,2
Bronx,009/77,President,NYC,Special Presidential,,0
Bronx,009/77,President,NYC,Affidavit,,73
Bronx,009/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,715
Bronx,009/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,34
