county,precinct,office,district,candidate,party,votes
Kings,006/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,8
Kings,006/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,006/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Kings,006/41,President,NYC,Scattered,,4
Kings,007/41,President,NYC,Manually Counted Emergency,,0
Kings,007/41,President,NYC,Absentee / Military,,16
Kings,007/41,President,NYC,Federal,,2
Kings,007/41,President,NYC,Special Presidential,,0
Kings,007/41,President,NYC,Affidavit,,14
Kings,007/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,237
Kings,007/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,259
Kings,007/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,21
Kings,007/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
Kings,007/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,13
Kings,007/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,007/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Kings,007/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Kings,007/41,President,NYC,Scattered,,6
Kings,008/41,President,NYC,Manually Counted Emergency,,0
Kings,008/41,President,NYC,Absentee / Military,,22
Kings,008/41,President,NYC,Federal,,8
Kings,008/41,President,NYC,Special Presidential,,0
Kings,008/41,President,NYC,Affidavit,,18
Kings,008/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,185
Kings,008/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,338
Kings,008/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,15
Kings,008/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Kings,008/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,13
Kings,008/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,008/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,008/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Kings,008/41,President,NYC,Scattered,,6
Kings,009/41,President,NYC,Manually Counted Emergency,,0
Kings,009/41,President,NYC,Absentee / Military,,9
Kings,009/41,President,NYC,Federal,,2
Kings,009/41,President,NYC,Special Presidential,,0
Kings,009/41,President,NYC,Affidavit,,12
Kings,009/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,145
Kings,009/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,308
Kings,009/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,23
Kings,009/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Kings,009/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Kings,009/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,009/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,009/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,009/41,President,NYC,Scattered,,5
Kings,010/41,President,NYC,Manually Counted Emergency,,0
Kings,010/41,President,NYC,Absentee / Military,,8
Kings,010/41,President,NYC,Federal,,0
Kings,010/41,President,NYC,Special Presidential,,0
Kings,010/41,President,NYC,Affidavit,,5
Kings,010/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,147
Kings,010/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,196
Kings,010/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,8
Kings,010/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Kings,010/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Kings,010/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Kings,010/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,010/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Kings,010/41,President,NYC,Scattered,,3
Kings,011/41,President,NYC,Manually Counted Emergency,,0
Kings,011/41,President,NYC,Absentee / Military,,2
Kings,011/41,President,NYC,Federal,,0
Kings,011/41,President,NYC,Special Presidential,,0
Kings,011/41,President,NYC,Affidavit,,7
Kings,011/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,82
Kings,011/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,92
Kings,011/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,12
Kings,011/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Kings,011/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Kings,011/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Kings,011/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,011/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,011/41,President,NYC,Scattered,,3
Kings,012/41,President,NYC,Manually Counted Emergency,,0
Kings,012/41,President,NYC,Absentee / Military,,10
Kings,012/41,President,NYC,Federal,,2
Kings,012/41,President,NYC,Special Presidential,,0
Kings,012/41,President,NYC,Affidavit,,3
Kings,012/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,71
Kings,012/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,172
Kings,012/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,18
Kings,012/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Kings,012/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Kings,012/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Kings,012/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,012/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,012/41,President,NYC,Scattered,,6
Kings,013/41,President,NYC,Manually Counted Emergency,,0
Kings,013/41,President,NYC,Absentee / Military,,0
Kings,013/41,President,NYC,Federal,,0
Kings,013/41,President,NYC,Special Presidential,,0
Kings,013/41,President,NYC,Affidavit,,0
Kings,014/41,President,NYC,Manually Counted Emergency,,0
Kings,014/41,President,NYC,Absentee / Military,,2
Kings,014/41,President,NYC,Federal,,0
Kings,014/41,President,NYC,Special Presidential,,0
Kings,014/41,President,NYC,Affidavit,,3
Kings,014/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,66
Kings,014/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,52
Kings,014/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Kings,014/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Kings,014/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Kings,014/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,014/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,014/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,014/41,President,NYC,Scattered,,3
Kings,015/41,President,NYC,Manually Counted Emergency,,0
Kings,015/41,President,NYC,Absentee / Military,,2
Kings,015/41,President,NYC,Federal,,2
Kings,015/41,President,NYC,Special Presidential,,0
